DataDate,UpdateTime,AcctIDByMXZ,SecurityID,WindCode,Symbol,TgtQty,MarginOrNotMark,AvlQtyInPrivatePool,AvlQtyInPublicPool,QuotaRealTime,QuotaToTerminate,QuotaOnLastTrdDate,OrdQtyFromPublicSecLoan,OrdQtyFromPrivateSecLoan,OrdQtyFromPrivateSSQSecLoan,OrdQtyFromPrivateJPQSecLoan,OrdQtyFromOutsideSource
20210119,130940,8111_m_huat_9239,000610,000610.SZ,西安旅游,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000611,000611.SZ,ST天首,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000612,000612.SZ,焦作万方,26400,1,0,0,0.0,0.0,0,0.0,0.0,0,0,26400
20210119,130940,8111_m_huat_9239,000613,000613.SZ,大东海A,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000615,000615.SZ,奥园美谷,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000616,000616.SZ,海航投资,0,1,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000620,000620.SZ,新华联,0,1,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000622,000622.SZ,恒立实业,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000632,000632.SZ,三木集团,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000633,000633.SZ,合金投资,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000638,000638.SZ,万方发展,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000655,000655.SZ,金岭矿业,29500,1,0,0,0.0,0.0,0,0.0,0.0,0,0,29500
20210119,130940,8111_m_huat_9239,000659,000659.SZ,珠海中富,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000665,000665.SZ,湖北广电,0,1,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000668,000668.SZ,荣丰控股,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
