"证券代码","证券名称","起始日","归还日","到期日","剩余期限","合约数量","日初合约数量","已用数量","合约金额","使用费率","占用利率","预计占用利息","已还利息","展期后到期日","展期次数","违约金率","合约编号","资产账号","账户名称"
"002288	","超华科技","2021-01-26","2021-02-08","2021-02-09","13","10000","10000","0","81800.00","0.00%","8.50%","19.31","0.00","--","0","18.00%","202101260000000786	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002340	","格林美","2021-01-26","2021-02-08","2021-02-09","13","400","400","0","3392.00","0.00%","9.00%","0.85","0.00","--","0","18.00%","202101260000000782	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600733	","北汽蓝谷","2021-01-26","2021-02-08","2021-02-09","13","9500","9500","0","94620.00","0.00%","8.50%","22.34","0.00","--","0","18.00%","202101260000000762	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603919	","金徽酒","2021-01-26","2021-01-29","2021-02-01","5","5100","5100","0","185640.00","0.00%","9.00%","46.41","0.00","--","0","18.00%","202101260000000754	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600559	","老白干酒","2021-01-26","2021-01-29","2021-02-01","5","7000","7000","0","186970.00","0.00%","9.00%","46.74","0.00","--","0","18.00%","202101260000000751	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600543	","莫高股份","2021-01-26","2021-01-29","2021-02-01","5","25900","25900","0","191401.00","0.00%","9.00%","47.85","0.00","--","0","18.00%","202101260000000749	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002646	","青青稞酒","2021-01-26","2021-01-29","2021-02-01","5","11600","11600","0","184788.00","0.00%","9.00%","46.20","0.00","--","0","18.00%","202101260000000748	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002340	","格林美","2021-01-26","2021-02-08","2021-02-09","13","9800","9800","0","83104.00","0.00%","9.00%","20.78","0.00","--","0","18.00%","202101260000000741	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002460	","赣锋锂业","2021-01-26","2021-02-08","2021-02-09","13","1400","1400","0","192360.00","0.00%","9.00%","48.09","0.00","--","0","18.00%","202101260000000652	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600773	","西藏城投","2021-01-25","2021-02-05","2021-02-08","12","22900","22900","22900","210451.00","0.00%","9.00%","105.23","0.00","--","0","18.00%","202101250000001826	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600616	","金枫酒业","2021-01-25","2021-02-05","2021-02-08","12","1200","1200","1200","10188.00","0.00%","9.00%","5.09","0.00","--","0","18.00%","202101250000001818	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300618	","寒锐钴业","2021-01-25","2021-02-05","2021-02-08","12","1400","1400","1400","151508.00","0.00%","9.00%","75.75","0.00","--","0","18.00%","202101250000001812	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300123	","亚光科技","2021-01-25","2021-02-01","2021-02-02","6","16600","16600","16600","194552.00","0.00%","9.00%","97.28","0.00","--","0","18.00%","202101250000001810	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300618	","寒锐钴业","2021-01-22","2021-02-10","2021-02-18","22","500","500","500","53655.00","0.00%","9.00%","67.07","0.00","--","0","18.00%","202101220000000957	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600197	","伊力特","2021-01-22","2021-01-27","2021-01-28","1","4000","4000","4000","96000.00","0.00%","9.00%","120.00","0.00","--","0","18.00%","202101220000000956	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600059	","古越龙山","2021-01-22","2021-01-27","2021-01-28","1","13800","13800","13751","189612.00","0.00%","9.00%","237.01","0.00","--","0","18.00%","202101220000000954	","960000039239	","鸣石宽墨十一号私募证券投资基金"
