DataDate,AcctIDByMXZ,SecurityID,WindCode,SecName,TgtQty,MarginOrNotMark,AvlQtyInPrivatePool,AvlQtyInPublicPool,QuotaOnLastTrdDate,QtyToTerminate,QtyToLock,QtyToBorrowFromPublicSecPool,QtyToBorrowFromOutsideSource
20210112,8111_m_huat_9239,000732,000732.SZ,泰禾集团,0,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000733,000733.SZ,振华科技,3400,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000752,000752.SZ,*ST西发,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000757,000757.SZ,浩物股份,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000762,000762.SZ,西藏矿业,14100,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000767,000767.SZ,晋控电力,0,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000791,000791.SZ,甘肃电投,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000793,000793.SZ,华闻集团,0,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000796,000796.SZ,凯撒旅业,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000798,000798.SZ,中水渔业,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000799,000799.SZ,酒鬼酒,1000,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000802,000802.SZ,北京文化,0,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000811,000811.SZ,冰轮环境,27500,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000812,000812.SZ,陕西金叶,0,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000813,000813.SZ,德展健康,0,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000816,000816.SZ,智慧农业,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000820,000820.SZ,*ST节能,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000821,000821.SZ,京山轻机,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000822,000822.SZ,山东海化,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000835,000835.SZ,*ST长动,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000862,000862.SZ,银星能源,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000868,000868.SZ,ST安凯,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000881,000881.SZ,中广核技,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000892,000892.SZ,欢瑞世纪,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000899,000899.SZ,赣能股份,30900,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000908,000908.SZ,景峰医药,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000918,000918.SZ,嘉凯城,0,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000927,000927.SZ,中国铁物,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000929,000929.SZ,兰州黄河,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000936,000936.SZ,华西股份,26300,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000953,000953.SZ,*ST河化,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000955,000955.SZ,欣龙控股,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000957,000957.SZ,中通客车,27100,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000962,000962.SZ,东方钽业,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000980,000980.SZ,*ST众泰,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000981,000981.SZ,*ST银亿,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,000993,000993.SZ,闽东电力,32000,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,001896,001896.SZ,豫能控股,23900,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002002,002002.SZ,鸿达兴业,0,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002006,002006.SZ,精功科技,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002009,002009.SZ,天奇股份,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002017,002017.SZ,东信和平,18400,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002021,002021.SZ,ST中捷,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002026,002026.SZ,山东威达,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002041,002041.SZ,登海种业,8500,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002042,002042.SZ,华孚时尚,0,1,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002046,002046.SZ,国机精工,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002052,002052.SZ,*ST同洲,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002058,002058.SZ,威尔泰,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002069,002069.SZ,獐子岛,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002071,002071.SZ,*ST长城,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002072,002072.SZ,ST凯瑞,0,0,0,0,0,0,0,0,0
20210112,8111_m_huat_9239,002074,002074.SZ,国轩高科,4700,1,0,0,0,0,0,0,0
