DataDate,SecurityID,WindCode,SecName,TgtQty,MarginOrNotMark,AvlQtyInPrivatePool,AvlQtyInPublicPool,QuotaOnLastTrdDate,QtyToTerminate,QtyToLock,QtyToBorrowFromPublicSecPool,QtyToBorrowFromOutsideSource
20201103,000006,000006.SZ,深振业A,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,000007,000007.SZ,全新好,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000010,000010.SZ,美丽生态,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000011,000011.SZ,深物业A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000014,000014.SZ,沙河股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000016,000016.SZ,深康佳A,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,000017,000017.SZ,*ST中华A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000020,000020.SZ,深华发A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000023,000023.SZ,深天地A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000034,000034.SZ,神州数码,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,000036,000036.SZ,华联控股,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,000037,000037.SZ,深南电A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000040,000040.SZ,东旭蓝天,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,000045,000045.SZ,深纺织A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000056,000056.SZ,皇庭国际,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000058,000058.SZ,深赛格,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000068,000068.SZ,华控赛格,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000070,000070.SZ,特发信息,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,000088,000088.SZ,盐田港,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,000100,000100.SZ,TCL科技,1000,1,0.0,98400.0,1000.0,0.0,0.0,0.0,0.0
20201103,000150,000150.SZ,宜华健康,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,000153,000153.SZ,丰原药业,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000407,000407.SZ,胜利股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000408,000408.SZ,*ST藏格,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000410,000410.SZ,*ST沈机,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000411,000411.SZ,英特集团,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000416,000416.SZ,民生控股,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000421,000421.SZ,南京公用,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000428,000428.SZ,华天酒店,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000502,000502.SZ,绿景控股,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000504,000504.SZ,ST生物,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000505,000505.SZ,京粮控股,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,000506,000506.SZ,中润资源,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,000509,000509.SZ,*ST华塑,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000516,000516.SZ,国际医学,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,000523,000523.SZ,广州浪奇,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000524,000524.SZ,岭南控股,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000525,000525.SZ,红太阳,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,000550,000550.SZ,江铃汽车,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,000551,000551.SZ,创元科技,1000,1,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20201103,000561,000561.SZ,烽火电子,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000564,000564.SZ,供销大集,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000571,000571.SZ,*ST大洲,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000572,000572.SZ,ST海马,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000573,000573.SZ,粤宏远A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000576,000576.SZ,广东甘化,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000585,000585.SZ,*ST东电,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000587,000587.SZ,*ST金洲,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000595,000595.SZ,*ST宝实,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201103,000597,000597.SZ,东北制药,1000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
