DataDate,SecurityID,TgtQty,MarginOrNotMark,AvlQtyInPrivatePool,QuotaOnLastTrdDate,DeltaQty
20201026,000004,1000,0,0.0,0.0,0.0
20201026,000006,1000,1,0.0,0.0,0.0
20201026,000010,1000,0,0.0,0.0,0.0
20201026,000011,1000,0,0.0,0.0,0.0
20201026,000014,1000,0,0.0,0.0,0.0
20201026,000020,1000,0,0.0,0.0,0.0
20201026,000021,1000,1,0.0,0.0,0.0
20201026,000023,1000,0,0.0,0.0,0.0
20201026,000026,1000,0,0.0,0.0,0.0
20201026,000034,1000,1,0.0,0.0,0.0
20201026,000037,1000,0,0.0,0.0,0.0
20201026,000045,1000,0,0.0,0.0,0.0
20201026,000058,1000,0,0.0,0.0,0.0
20201026,000068,1000,0,0.0,0.0,0.0
20201026,000088,1000,1,0.0,0.0,0.0
20201026,000150,1000,1,0.0,0.0,0.0
20201026,000407,1000,0,0.0,0.0,0.0
20201026,000411,1000,0,0.0,0.0,0.0
20201026,000416,1000,0,0.0,0.0,0.0
20201026,000428,1000,0,0.0,0.0,0.0
20201026,000430,1000,0,0.0,0.0,0.0
20201026,000502,1000,0,0.0,0.0,0.0
20201026,000504,1000,0,0.0,0.0,0.0
20201026,000505,1000,1,0.0,0.0,0.0
20201026,000509,1000,0,0.0,0.0,0.0
20201026,000516,1000,1,0.0,0.0,0.0
20201026,000518,1000,0,0.0,0.0,0.0
20201026,000523,1000,0,0.0,0.0,0.0
20201026,000524,1000,0,0.0,0.0,0.0
20201026,000548,1000,0,0.0,0.0,0.0
20201026,000564,1000,0,0.0,0.0,0.0
20201026,000571,1000,0,0.0,0.0,0.0
20201026,000572,1000,0,0.0,0.0,0.0
20201026,000573,1000,0,0.0,0.0,0.0
20201026,000585,1000,0,0.0,0.0,0.0
20201026,000587,1000,0,0.0,0.0,0.0
20201026,000592,1000,1,0.0,0.0,0.0
20201026,000595,1000,0,0.0,0.0,0.0
20201026,000610,1000,0,0.0,0.0,0.0
20201026,000613,1000,0,0.0,0.0,0.0
20201026,000616,1000,1,0.0,0.0,0.0
20201026,000638,1000,0,0.0,0.0,0.0
20201026,000662,1000,0,0.0,0.0,0.0
20201026,000668,1000,0,0.0,0.0,0.0
20201026,000669,1000,0,0.0,0.0,0.0
20201026,000673,1000,0,0.0,0.0,0.0
20201026,000676,1000,0,0.0,0.0,0.0
20201026,000687,1000,0,0.0,0.0,0.0
20201026,000688,1000,0,0.0,0.0,0.0
20201026,000692,1000,0,0.0,0.0,0.0
20201026,000697,1000,0,0.0,0.0,0.0
20201026,000698,1000,0,0.0,0.0,0.0
20201026,000710,1000,0,0.0,0.0,0.0
20201026,000711,1000,0,0.0,0.0,0.0
20201026,000720,1000,0,0.0,0.0,0.0
20201026,000721,1000,0,0.0,0.0,0.0
20201026,000725,1000,1,0.0,0.0,0.0
20201026,000727,1000,0,0.0,0.0,0.0
