"证券代码","证券名称","起始日","归还日","到期日","剩余期限","合约数量","日初合约数量","已用数量","合约金额","使用费率","占用利率","预计占用利息","已还利息","展期后到期日","展期次数","违约金率","合约编号","资产账号","账户名称"
"601919	","中远海控","2021-02-02","2021-03-01","2021-03-02","25","1700","1700","1700","20536.00","0.00%","5.00%","8.56","0.00","--","0","18.00%","202102020000000013	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603299	","苏盐井神","2021-02-01","2021-02-26","2021-03-01","24","12800","12800","12800","104448.00","0.00%","8.50%","98.65","0.00","--","0","18.00%","202102010000002310	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002407	","多氟多","2021-02-01","2021-02-26","2021-03-01","24","4200","4200","4200","95760.00","0.00%","8.50%","90.44","0.00","--","0","18.00%","202102010000002298	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300598	","诚迈科技","2021-02-01","2021-02-26","2021-03-01","24","1200","1200","1200","94560.00","0.00%","8.50%","89.31","0.00","--","0","18.00%","202102010000002290	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300001	","特锐德","2021-02-01","2021-02-10","2021-02-15","10","1600","1600","1600","56896.00","0.00%","8.50%","53.74","0.00","--","0","18.00%","202102010000002286	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000725	","京东方Ａ","2021-02-01","2021-02-10","2021-02-15","10","3500","3500","3500","21805.00","0.00%","9.00%","21.80","0.00","--","0","18.00%","202102010000002245	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600655	","豫园股份","2021-02-01","2021-02-10","2021-02-15","10","19200","19200","19200","204288.00","0.00%","9.00%","204.29","0.00","--","0","18.00%","202102010000002238	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603993	","洛阳钼业","2021-02-01","2021-02-10","2021-02-18","13","1000","1000","1000","5960.00","0.00%","9.00%","5.96","0.00","--","0","18.00%","202102010000002230	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601919	","中远海控","2021-02-01","2021-03-01","2021-03-02","25","1000","1000","1000","12080.00","0.00%","9.00%","12.08","0.00","--","0","18.00%","202102010000002228	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600543	","莫高股份","2021-02-01","2021-02-05","2021-02-08","3","24500","24500","24500","181790.00","0.00%","7.00%","141.39","0.00","--","0","18.00%","202102010000000058	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000100	","TCL科技","2021-02-01","2021-02-10","2021-02-15","10","1900","1900","1900","17157.00","0.00%","5.00%","9.53","0.00","--","0","18.00%","202102010000000057	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002796	","世嘉科技","2021-01-29","2021-02-24","2021-02-25","20","16600","16600","16600","197042.00","0.00%","9.00%","344.82","0.00","--","0","18.00%","202101290000000778	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603377	","东方时尚","2021-01-29","2021-02-10","2021-02-11","6","5000","5000","5000","59250.00","0.00%","9.00%","103.69","0.00","--","0","18.00%","202101290000000776	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601766	","中国中车","2021-01-28","2021-02-10","2021-02-11","6","9100","9100","9100","59059.00","0.00%","8.50%","111.56","0.00","--","0","18.00%","202101280000001342	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603799	","华友钴业","2021-01-28","2021-02-23","2021-02-24","19","1900","1900","1900","191615.00","0.00%","9.00%","383.23","0.00","--","0","18.00%","202101280000001309	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601919	","中远海控","2021-01-28","2021-02-10","2021-02-17","12","13900","13900","13900","181117.00","0.00%","5.00%","201.24","0.00","--","0","18.00%","202101280000000088	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300059	","东方财富","2021-01-28","2021-02-10","2021-02-18","13","5400","5400","5400","195480.00","0.00%","7.00%","304.08","0.00","--","0","18.00%","202101280000000087	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300014	","亿纬锂能","2021-01-28","2021-02-19","2021-02-22","17","1800","1800","1800","196200.00","0.00%","7.00%","305.20","0.00","--","0","18.00%","202101280000000086	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000100	","TCL科技","2021-01-28","2021-02-10","2021-02-12","7","15000","15000","15000","133200.00","0.00%","5.00%","148.00","0.00","--","0","18.00%","202101280000000085	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000725	","京东方Ａ","2021-01-28","2021-02-10","2021-02-15","10","28900","28900","28900","184382.00","0.00%","5.00%","204.87","0.00","--","0","18.00%","202101280000000084	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000100	","TCL科技","2021-01-28","2021-02-08","2021-02-09","4","6400","6400","6400","56832.00","0.00%","5.00%","63.15","0.00","--","0","18.00%","202101280000000083	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603026	","石大胜华","2021-01-28","2021-02-09","2021-02-10","5","1300","1300","1300","86320.00","0.00%","7.00%","134.28","0.00","--","0","18.00%","202101280000000043	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002092	","中泰化学","2021-01-28","2021-02-09","2021-02-10","5","11700","11700","11700","96993.00","0.00%","7.00%","150.88","0.00","--","0","18.00%","202101280000000042	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000301	","东方盛虹","2021-01-28","2021-02-09","2021-02-10","5","7000","7000","7000","95970.00","0.00%","7.00%","149.29","0.00","--","0","18.00%","202101280000000041	","960000039239	","鸣石宽墨十一号私募证券投资基金"
