仓位
账户,代码,名称,股数,浮盈,均价
msm7haiti,601899,undefined,-22400,-1899.28,9.23
msm7haiti,603799,undefined,-2800,-4553.13,72.29
msm7haiti,688030,undefined,-2386,-1693.14,37.23
msm7haiti,688022,undefined,-2000,-603.36,33.19
msm7haiti,688099,undefined,-1232,-2964.71,75.74
msm7haiti,688116,undefined,-1226,-3284.35,58.82
msm7haiti,300482,undefined,-1200,-1587.63,89.17
msm7haiti,002670,undefined,-700,-733.75,11.19
msm7haiti,300274,undefined,-200,-221.25,68.08
msm7haiti,603678,undefined,-200,-115.22,66.23
msm7haiti,688011,undefined,-128,-87.04,49.90
msm7haiti,002812,undefined,-100,70.65,139.84
msm7haiti,688288,undefined,100,43.23,35.67
总利润：,-17628.99075



已完成交易
时间,账户,qid,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
10:14:00,msm7haiti,SJNATb8e855dbda5a499c9da72e97cd950c01,268,600760,中航沈飞,72.23,600,72.2,600,0,已成
10:14:01,msm7haiti,SJNATc7132b135e4e47f8bf6762b48600c3e9,269,688288,鸿泉物联,36.28,-100,0,0,0,废单
10:14:25,msm7haiti,SJNAT690b52764fc0495c9808963c921389fd,270,688288,鸿泉物联,36.41,-100,0,0,0,废单
10:14:30,msm7haiti,SJNAT4db5274b141d40778598323fe94d7e41,271,600760,中航沈飞,72.27,1100,72.22,1100,0,已成
10:14:54,msm7haiti,SJNATa886a086d93d47d2b9c6a150a17fd853,272,688288,鸿泉物联,36.37,-100,0,0,0,废单
10:14:55,msm7haiti,SJNAT4d8e31f2eff04751bfe9e462727fe957,273,600531,豫光金铅,6,-12700,6,-12700,0,已成
10:14:58,msm7haiti,SJNAT0c6fa3c82afd4039bc29700ef95fe825,274,688288,鸿泉物联,36.37,-100,0,0,0,废单
10:15:26,msm7haiti,SJNAT58f664a2b7d64f0dac619267e2564242,275,688288,鸿泉物联,36.36,-400,0,0,400,已撤
10:15:58,msm7haiti,SJNAT2c9deb5dde7d423c93d6e41c7db004e1,277,688108,赛诺医疗,13.25,-900,0,0,900,已撤
10:19:58,msm7haiti,SJNAT07861c5e5b394a3aaeba513ac2fc7b49,279,688288,鸿泉物联,36.39,-100,0,0,0,废单
10:21:25,msm7haiti,SJNAT8fce26d08fbd48e1ba09ca8d51974653,280,688288,鸿泉物联,36.52,-100,0,0,0,废单
10:21:30,msm7haiti,SJNATb74ae45204db4b7a8fee262155e459b6,281,688138,清溢光电,22.36,-1000,22.36,-1000,0,已成
10:22:26,msm7haiti,SJNAT0d692e0e108f4ff58c9a342d9efba5b4,282,688011,新光光电,49.18,100,0,0,0,废单
10:23:25,msm7haiti,SJNATffde7236071b4b6da53a3543a1097b89,283,688288,鸿泉物联,36.43,-100,0,0,0,废单
10:25:01,msm7haiti,SJNATd7842c2ba36e47db9edc07dae9044682,284,300357,我武生物,77.54,-800,0,0,0,废单
10:26:01,msm7haiti,SJNATe3f3e47325bb4d45be971dfb91b67f70,285,300357,我武生物,77.6,-200,0,0,0,废单
10:27:55,msm7haiti,SJNAT0d09e0543295472a9a2378ea341cb6ef,286,688116,天奈科技,59.84,700,59.79649,700,0,已成
10:27:58,msm7haiti,SJNATb2fd152f24e149eb9aa5e6077d254bad,287,688116,天奈科技,59.85,1000,59.8,1000,0,已成
10:34:26,msm7haiti,SJNATcf41ea56ebe9455fa7b9f57a5c792cf3,288,688196,卓越新能,61.02,-200,0,0,200,已撤
10:34:31,msm7haiti,SJNAT9a41fa4854fc4195b0743323c0b32c8c,289,002670,国盛金控,11.41,700,0,0,700,已撤
10:35:00,msm7haiti,SJNAT201a4e764d064923963965e41ec81cc5,291,600395,盘江股份,7.99,-4600,7.99,-2500,2100,已撤
10:37:33,msm7haiti,SJNAT7d35f946e4424161ad117808ef176d5a,294,300274,阳光电源,68.42,800,68.42,800,0,已成
10:41:58,msm7haiti,SJNAT87d185a1d1e44af8ab2be6d492b36acc,295,300326,凯利泰,15.97,-13400,15.98,-13400,0,已成
10:52:25,msm7haiti,SJNATbbbd78097e0f46609ca52aa3262f856b,296,600733,北汽蓝谷,8.18,24200,0,0,24200,已撤
10:56:01,msm7haiti,SJNATccd144a34ee6483a9ea5c49e84dff122,298,300482,万孚生物,89.1,-1200,89.17,-1200,0,已成
11:01:33,msm7haiti,SJNATf9d4f0a594a5461ebb5c4dafed30dcc3,299,300274,阳光电源,68.92,200,0,0,200,已撤
11:01:54,msm7haiti,SJNAT001ec2458fa64099b16f6b4998f05d72,300,600733,北汽蓝谷,8.34,24200,0,0,24200,已撤
11:02:54,msm7haiti,SJNATdbff9d38819c4bb5915f138150bcce0a,303,600733,北汽蓝谷,8.37,24200,0,0,24200,已撤
11:03:01,msm7haiti,SJNAT653a01994a9a4735bed7599c844b7ac8,305,600733,北汽蓝谷,8.42,24200,8.42,24200,0,已成
11:07:28,msm7haiti,SJNAT1c79636cfc25422da38d450ecb29988a,306,002238,天威视讯,7,700,0,0,700,已撤
11:09:28,msm7haiti,SJNAT74696ae65990408d958820681ea5c297,308,600395,盘江股份,8.03,6100,8.03,6100,0,已成
11:13:27,msm7haiti,SJNAT55c931cf5c1f4300bacbae0e983e00c9,309,603678,火炬电子,66.21,-200,66.23,-200,0,已成
11:14:28,msm7haiti,SJNATa4470cd33df142a89c06fefa86211a00,310,002238,天威视讯,7.01,700,7.01,700,0,已成
11:15:54,msm7haiti,SJNAT5b524efb076c491ebb191014d3abd21d,311,688099,晶晨股份,77.81,400,77.81,400,0,已成
11:16:26,msm7haiti,SJNAT6cfb76bf52a348a78cb90e4f9bfb5a93,312,688011,新光光电,49.05,100,0,0,0,废单
11:18:26,msm7haiti,SJNATd3034fb177214958adc94242367427f7,313,688116,天奈科技,60.76,2900,0,0,2900,已撤
11:19:55,msm7haiti,SJNAT31e18c55c5534c5eab16b870b6aa7ff7,315,688116,天奈科技,61.07,600,61.06158,475,125,已撤
11:20:01,msm7haiti,SJNATb66f8636955c4c51b6183c70d1bc78b2,317,688116,天奈科技,61.14,600,61.09,600,0,已成
11:21:54,msm7haiti,SJNAT2971ed6987a14ea0a580ed6a78fdcc30,318,688022,瀚川智能,32.8,2000,0,0,2000,已撤
11:22:55,msm7haiti,SJNAT10cf8e17b4774c2e9268d32601ee53a1,320,688022,瀚川智能,32.85,2000,0,0,2000,已撤
13:05:26,msm7haiti,SJNATd004d1635c8f4860be65cb2adae90122,322,688116,天奈科技,61.07,400,61.01,400,0,已成
13:05:29,msm7haiti,SJNAT69213e204a5f4c01a17aa3ade73df214,323,688116,天奈科技,61.07,200,61.05,200,0,已成
13:05:58,msm7haiti,SJNATa0b3cbcc3f2d4bf08c909e3bc23aae90,324,688116,天奈科技,60.73,1200,0,0,1200,已撤
13:07:31,msm7haiti,SJNAT3470ddb34ae94e109022a54ca7b1e77b,326,688011,新光光电,50.23,100,0,0,0,废单
13:07:33,msm7haiti,SJNATaa3acb96dda84955a78afdbc901759b7,327,688011,新光光电,50.23,100,0,0,0,废单
13:07:59,msm7haiti,SJNATa21dcc5456a04708a21249d56f274e05,328,688011,新光光电,50.49,100,0,0,0,废单
13:08:02,msm7haiti,SJNATe3a2cdff6c0245fa93ac32cbad7dec46,329,688011,新光光电,50.35,100,0,0,0,废单
13:08:32,msm7haiti,SJNAT26cec3f29a2c4b93a093ad0d41ef8853,330,688022,瀚川智能,33,2000,0,0,2000,已撤
13:10:33,msm7haiti,SJNAT1ca8ff49ed98479ea7f4f420c0f9a990,331,688011,新光光电,50.45,100,0,0,0,废单
13:13:31,msm7haiti,SJNATf71ef35688984d78b73945db002550c3,333,688011,新光光电,50.54,100,0,0,0,废单
13:14:00,msm7haiti,SJNAT2f0676e4ee15483e9157683df2374526,334,688011,新光光电,50.9,100,0,0,0,废单
13:15:01,msm7haiti,SJNATbccf9808bd734331a10d791de30e6a1b,335,688011,新光光电,50.88,100,0,0,0,废单
13:17:24,msm7haiti,SJNAT25e3557f2e6e417b96ba71b2023cfa36,336,688022,瀚川智能,32.92,2000,0,0,2000,已撤
13:17:30,msm7haiti,SJNAT1b9ccb2033184f6e8d0dea1452530d01,337,688011,新光光电,50.98,100,0,0,0,废单
13:17:33,msm7haiti,SJNAT29983af64c8e49a4b51d5215278c9000,338,688011,新光光电,50.98,100,0,0,0,废单
13:18:32,msm7haiti,SJNAT83030aa0936a4efcb2770ce1b6f4f583,340,688011,新光光电,51.04,100,0,0,0,废单
13:18:58,msm7haiti,SJNATd27faefc5bfc48c1af80249d4cca7baa,341,688022,瀚川智能,32.99,2000,0,0,2000,已撤
13:21:24,msm7haiti,SJNATa85b997bc7684c6eb8d26b7f62245e68,343,688022,瀚川智能,33.24,1100,0,0,1100,已撤
13:21:32,msm7haiti,SJNAT5aa2f72257e14f649edb878350c643d8,345,688022,瀚川智能,33.29,1300,0,0,1300,已撤
13:25:00,msm7haiti,SJNATe2a94efa1bd44d979b73586db4d8bb00,347,688116,天奈科技,61.13,600,0,0,600,已撤



信息统计
账户,代码,名称,利润,笔数,股数,交易额,费用
msm7haiti,600733,undefined,-12893.66,1,24200,394944,309.66
msm7haiti,688116,undefined,-5745.15,6,3375,402433.7,319.23
msm7haiti,300326,undefined,-2755.34,1,13400,430676,343.33
msm7haiti,300207,undefined,-2692.13,1,6600,396660,316.14
msm7haiti,002812,undefined,-614.10,3,1300,361569,289.09
msm7haiti,300274,undefined,-356.83,1,800,109202.4,87.23
msm7haiti,600884,undefined,-352.99,2,10800,367509,293.98
msm7haiti,600395,undefined,-322.06,1,6100,97722,78.06
msm7haiti,688099,undefined,-98.79,2,900,136198.2,108.96
msm7haiti,002238,undefined,34.09,1,700,9856,7.91
msm7haiti,688138,undefined,34.24,1,1000,44650,35.76
msm7haiti,600760,undefined,45.34,4,2600,375602,300.65
msm7haiti,601717,undefined,80.98,2,5000,111170,89.02
msm7haiti,300482,undefined,247.26,2,1000,170684,136.74
msm7haiti,688022,undefined,715.96,1,1600,104544,84.04
msm7haiti,600531,undefined,1116.95,2,36000,429141,344.04
msm7haiti,688288,undefined,1450.11,5,4200,301320,241.90
msm7haiti,688030,undefined,2421.95,4,4152,306490.7,246.53
总利润：,-19684.149269999998



