未完成交易
时间,账户,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
09:30:31.698,mslh18hait6618,75,000516,国际医学,11.84,-4300,11.85117,-856,0,未成
10:01:30.926,mslh18hait6618,5455,600746,江苏索普,6.6,10200,6.6,7600,0,未成
10:01:55.863,mslh18hait6618,5461,002239,奥特佳,4.92,65200,0,0,0,已报
10:01:00.758,mslh18hait6618,5437,603306,华懋科技,22.59,3900,22.59,2300,0,未成
10:02:01.432,mslh18hait6618,5472,300604,长川科技,29.51,1700,0,0,0,已报



仓位
账户,代码,名称,股数,浮盈,均价
mslh18hait6618,002518,undefined,-1200,274.40,13.38
mslh18hait6618,603901,undefined,-1100,-26.02,8.53
mslh18hait6618,603568,undefined,-1100,-242.24,18.85
mslh18hait6618,600879,undefined,-1000,98.79,7.03
mslh18hait6618,600292,undefined,-1000,-143.43,8.37
mslh18hait6618,300726,undefined,-1000,-608.57,69.01
mslh18hait6618,002623,undefined,-1000,130.57,43.43
mslh18hait6618,600150,undefined,-900,145.61,17.67
mslh18hait6618,300053,undefined,-900,-75.53,8.69
mslh18hait6618,002156,undefined,-900,309.00,25.07
mslh18hait6618,000987,undefined,-900,-35.72,13.69
mslh18hait6618,300067,undefined,-800,-13.54,4.33
mslh18hait6618,002251,undefined,-800,-9.78,8.42
mslh18hait6618,688111,undefined,-700,-1478.87,371.03
mslh18hait6618,603416,undefined,-700,1783.43,84.05
mslh18hait6618,600761,undefined,-700,-64.44,13.77
mslh18hait6618,000967,undefined,-700,-30.19,8.20
mslh18hait6618,600976,undefined,-600,359.92,25.20
mslh18hait6618,600060,undefined,-600,174.92,11.60
mslh18hait6618,300079,undefined,-600,7.51,4.68
mslh18hait6618,002100,undefined,-600,150.61,11.91
mslh18hait6618,603786,undefined,-500,24.66,70.46
mslh18hait6618,600993,undefined,-500,5.55,20.39
mslh18hait6618,300729,undefined,-500,351.49,43.28
mslh18hait6618,300525,undefined,-500,-52.20,26.49
mslh18hait6618,300448,undefined,-500,53.28,8.42
mslh18hait6618,300352,undefined,-500,-9.22,5.27
mslh18hait6618,300314,undefined,-500,-48.19,16.48
mslh18hait6618,300192,undefined,-500,13.76,14.06
mslh18hait6618,002567,undefined,-500,28.53,8.10
mslh18hait6618,002919,undefined,-400,859.47,39.88
mslh18hait6618,600535,undefined,-400,-21.50,14.84
mslh18hait6618,300487,undefined,-400,141.62,42.86
mslh18hait6618,002572,undefined,-400,132.20,24.75
mslh18hait6618,002093,undefined,-400,-16.55,7.11
mslh18hait6618,000090,undefined,-400,-11.83,5.98
mslh18hait6618,603686,undefined,-300,-32.56,15.74
mslh18hait6618,600378,undefined,-300,68.13,20.61
mslh18hait6618,300767,undefined,-300,-69.27,69.30
mslh18hait6618,300639,undefined,-300,-8.01,35.45
mslh18hait6618,300276,undefined,-300,-13.96,4.07
mslh18hait6618,300114,undefined,-300,35.06,14.49
mslh18hait6618,300020,undefined,-300,-9.78,7.87
mslh18hait6618,002127,undefined,-300,52.69,15.27
mslh18hait6618,603060,undefined,-221,-28.73,18.73
