仓位,,,,,,,,,,,
账户,代码,名称,股数,浮盈,均价,,,,,,
msm7haiti,601717,郑煤机,-12800,-479.47,10.37,,,,,,
msm7haiti,2353,杰瑞股份,-7000,-1115.82,33.71,,,,,,
msm7haiti,2214,大立科技,-6200,-1946.01,27.37,,,,,,
msm7haiti,300072,三聚环保,-5600,-1002.73,5.63,,,,,,
msm7haiti,2466,天齐锂业,-4100,-6439.69,35.65,,,,,,
msm7haiti,688389,,-3020,0,20.67,,,,,,
msm7haiti,688030,,-2831,0,29.99,,,,,,
msm7haiti,300357,我武生物,-1700,234.85,74.96,,,,,,
msm7haiti,2382,蓝帆医疗,-1000,404.45,22.3,,,,,,
msm7haiti,2202,金风科技,-1000,-412.53,14.01,,,,,,
msm7haiti,2007,华兰生物,-1000,352.41,42.32,,,,,,
msm7haiti,688015,,-200,0,37.18,,,,,,
msm7haiti,688288,,-100,-2.71,35.69,,,,,,
msm7haiti,300251,光线传媒,-100,15.22,11.18,,,,,,
msm7haiti,688021,,55,0,61.24,,,,,,
msm7haiti,300595,,300,571.04,78.7,,,,,,
msm7haiti,688099,,1300,-1584.11,74.3,,,,,,
msm7haiti,600765,中航重机,1300,153.65,19.85,,,,,,
msm7haiti,2238,天威视讯,9900,851.73,7.13,,,,,,
msm7haiti,100,TCL集团,29600,1747.59,6.71,,,,,,
msm7haiti,813,天山纺织,33000,-9183.47,5.23,,,,,,
总利润：,-24887.86681,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
已完成交易,,,,,,,,,,,
9:31:54,msm7haiti,SJNAT59ab0caf2ce4412990b0034877b6ab8a,79,688288,,35.9,-100,0,0,100,已撤
9:31:56,msm7haiti,SJNAT93caf48f8a244f169390ec0b9843a03f,80,603799,华友钴业,68.1,-1700,0,0,1700,已撤
9:31:57,msm7haiti,SJNAT88062c308cd0409781b732efcd8abfa2,81,300326,凯利泰,16.03,-2000,0,0,2000,已撤
9:31:58,msm7haiti,SJNAT2c6ee0a9b9714028bbb317268a6790aa,82,2238,天威视讯,7.12,16800,0,0,16800,已撤
9:31:58,msm7haiti,SJNATd6c0f5943b7049188ae8959539c53726,84,688011,,49.04,1000,0,0,1000,已撤
9:31:58,msm7haiti,SJNAT6a6eb6e890dd4a86aa4e3520a0ea2b5f,86,603678,火炬电子,63,-700,63.07714,-700,0,已成
9:32:00,msm7haiti,SJNAT2cc5a3481d1b4d01a3f535b804439aab,88,688288,,35.87,-100,0,0,100,已撤
9:32:00,msm7haiti,SJNAT9eec47c25a464a8e8e79b6616e56a0e1,89,688030,,29.76,2500,0,0,2500,已撤
9:32:25,msm7haiti,SJNATeed366a497574d51bd61a905e59d7b3e,95,603799,华友钴业,68.08,-1400,68.08,-1400,0,已成
9:32:25,msm7haiti,SJNAT567b1a2b2c474d7d89432070e39bd358,96,688011,,48.86,1200,0,0,1200,已撤
9:32:28,msm7haiti,SJNAT7c5a3fc31637481ea4502a4054957e70,97,600733,S前锋,8.55,-24200,0,0,24200,已撤
