未完成交易
时间,账户,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
10:01:26.567,mslh18hait6618,5739,000733,振华科技,55,1800,0,0,0,已报



仓位
账户,代码,名称,股数,浮盈,均价
mslh18hait6618,300718,undefined,-1000,163.44,18.51
mslh18hait6618,002608,undefined,-900,-145.35,7.16
mslh18hait6618,300737,undefined,-900,125.31,21.34
mslh18hait6618,002783,undefined,-900,257.89,11.24
mslh18hait6618,300482,undefined,-900,-563.23,87.38
mslh18hait6618,002375,undefined,-900,25.30,7.44
mslh18hait6618,600861,undefined,-900,36.74,18.25
mslh18hait6618,603690,undefined,-800,39.21,42.92
mslh18hait6618,300233,undefined,-800,373.87,20.51
mslh18hait6618,300181,undefined,-800,128.19,6.13
mslh18hait6618,603345,undefined,-800,-1711.12,184.13
mslh18hait6618,600754,undefined,-800,75.63,51.11
mslh18hait6618,300702,undefined,-800,166.58,88.67
mslh18hait6618,600061,undefined,-800,-41.25,13.47
mslh18hait6618,300063,undefined,-800,25.44,5.13
mslh18hait6618,300781,undefined,-800,-60.55,31.68
mslh18hait6618,603301,undefined,-800,184.11,67.17
mslh18hait6618,603707,undefined,-700,-49.33,36.90
mslh18hait6618,000967,undefined,-700,53.51,8.49
mslh18hait6618,603055,undefined,-700,0.09,6.17
mslh18hait6618,000661,undefined,-700,7075.67,440.71
mslh18hait6618,300324,undefined,-700,37.20,4.30
mslh18hait6618,300134,undefined,-700,72.77,10.05
mslh18hait6618,002003,undefined,-700,20.56,6.65
mslh18hait6618,300255,undefined,-600,47.95,6.32
mslh18hait6618,002024,undefined,-600,28.55,7.77
mslh18hait6618,000531,undefined,-600,38.57,9.84
mslh18hait6618,688099,undefined,-600,1175.34,79.54
mslh18hait6618,300729,undefined,-600,-1.75,43.51
mslh18hait6618,300314,undefined,-500,199.19,17.35
mslh18hait6618,002120,undefined,-500,122.14,16.12
mslh18hait6618,002467,undefined,-500,60.47,5.69
mslh18hait6618,600966,undefined,-500,-65.34,12.91
mslh18hait6618,300230,undefined,-500,25.76,5.31
mslh18hait6618,300294,undefined,-500,172.11,34.94
mslh18hait6618,002171,undefined,-500,37.99,8.78
mslh18hait6618,603386,undefined,-400,500.33,18.48
