fund_account,asset_prop,exchange_type,stock_code,stock_name,stock_type,current_amount,hold_amount,enable_amount,last_price,cost_price,income_balance,hand_flag,market_value,av_buy_price,av_income_balance,cost_balance,uncome_buy_amount,uncome_sell_amount,entrust_sell_amount,real_buy_amount,real_sell_amount,asset_price,keep_cost_price,assure_ratio
960000039239,7,1,600827,百联股份,0,10000.000,10000.000,10000.000,18.080,20.273,-21925.990,0,180800.000,19.065,-7011.590,202725.990,0.000,0.000,0.000,0.000,0.000,18.080,20.273,0.640
960000039239,7,1,600316,洪都航空,0,3900.000,3900.000,3900.000,44.100,55.200,-43289.010,0,171990.000,46.216,-16559.870,215279.010,0.000,0.000,0.000,0.000,0.000,44.100,55.200,0.000
960000039239,7,2,002389,航天彩虹,0,6600.000,6600.000,6600.000,26.220,32.744,-43060.540,0,173052.000,26.340,-22095.780,216112.540,0.000,0.000,0.000,0.000,0.000,26.220,32.744,0.650
960000039239,7,1,600415,小商品城,0,23400.000,23400.000,23400.000,4.970,5.228,-6043.660,0,116298.000,4.990,-1649.940,122341.660,0.000,0.000,0.000,0.000,0.000,4.970,5.228,0.550
960000039239,7,1,600733,北汽蓝谷,0,9500.000,9500.000,9500.000,9.200,10.123,-8771.530,0,87400.000,9.705,-3961.130,96171.530,0.000,0.000,0.000,0.000,0.000,9.200,10.123,0.000
960000039239,7,2,002156,通富微电,0,5000.000,5000.000,5000.000,26.600,32.980,-31901.180,0,133000.000,27.898,-21399.220,164901.180,0.000,0.000,0.000,0.000,0.000,26.600,32.980,0.000
960000039239,7,1,603026,石大胜华,0,2900.000,2900.000,2900.000,66.400,67.198,-2315.230,0,192560.000,67.189,0.000,194875.230,0.000,0.000,0.000,0.000,0.000,66.400,67.198,0.530
960000039239,7,1,600559,老白干酒,0,7000.000,7000.000,7000.000,24.280,25.686,-9842.980,0,169960.000,25.732,188.700,179802.980,0.000,0.000,0.000,0.000,0.000,24.280,25.686,0.650
960000039239,7,1,600460,士兰微,0,7900.000,7900.000,7900.000,22.220,25.578,-26527.930,0,175538.000,23.592,-5317.730,202065.930,0.000,0.000,0.000,0.000,0.000,22.220,25.578,0.000
960000039239,7,1,600616,金枫酒业,0,24000.000,24000.000,24000.000,7.300,8.097,-19120.600,0,175200.000,7.792,665.670,194320.600,0.000,0.000,0.000,0.000,0.000,7.300,8.097,0.520
960000039239,7,1,603993,洛阳钼业,0,32100.000,32100.000,32100.000,5.930,6.181,-8048.770,0,190353.000,6.180,0.000,198401.770,0.000,0.000,0.000,0.000,0.000,5.930,6.181,0.700
960000039239,7,1,600855,航天长峰,0,6200.000,6200.000,6200.000,13.820,15.084,-7839.890,0,85684.000,13.899,-3440.000,93523.890,0.000,0.000,0.000,0.000,0.000,13.820,15.084,0.650
960000039239,7,2,300274,阳光电源,c,2400.000,2400.000,2400.000,99.590,82.276,41554.620,0,239016.000,98.444,33195.620,197461.380,0.000,0.000,0.000,0.000,0.000,99.590,82.276,0.450
