"证券代码","证券名称","起始日","归还日","到期日","剩余期限","合约数量","日初合约数量","已用数量","合约金额","使用费率","占用利率","预计占用利息","已还利息","展期后到期日","展期次数","违约金率","合约编号","资产账号","账户名称"
"600185	","格力地产","2021-01-28","2021-02-02","2021-02-03","5","10000","10000","0","59600.00","0.00%","9.00%","14.90","0.00","--","0","18.00%","202101280000001346	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601766	","中国中车","2021-01-28","2021-02-10","2021-02-11","13","9100","9100","0","59059.00","0.00%","8.50%","13.94","0.00","--","0","18.00%","202101280000001342	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603799	","华友钴业","2021-01-28","2021-02-23","2021-02-24","26","1900","1900","0","191615.00","0.00%","9.00%","47.90","0.00","--","0","18.00%","202101280000001309	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601919	","中远海控","2021-01-28","2021-02-10","2021-02-17","19","13900","13900","0","181117.00","0.00%","5.00%","25.16","0.00","--","0","18.00%","202101280000000088	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300059	","东方财富","2021-01-28","2021-02-10","2021-02-18","20","5400","5400","0","195480.00","0.00%","7.00%","38.01","0.00","--","0","18.00%","202101280000000087	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300014	","亿纬锂能","2021-01-28","2021-02-19","2021-02-22","24","1800","1800","1800","196200.00","0.00%","7.00%","38.15","0.00","--","0","18.00%","202101280000000086	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000100	","TCL科技","2021-01-28","2021-02-10","2021-02-12","14","15000","15000","0","133200.00","0.00%","5.00%","18.50","0.00","--","0","18.00%","202101280000000085	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000725	","京东方Ａ","2021-01-28","2021-02-10","2021-02-15","17","28900","28900","0","184382.00","0.00%","5.00%","25.61","0.00","--","0","18.00%","202101280000000084	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000100	","TCL科技","2021-01-28","2021-02-08","2021-02-09","11","6400","6400","0","56832.00","0.00%","5.00%","7.89","0.00","--","0","18.00%","202101280000000083	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603026	","石大胜华","2021-01-28","2021-02-09","2021-02-10","12","1300","1300","1300","86320.00","0.00%","7.00%","16.78","0.00","--","0","18.00%","202101280000000043	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002092	","中泰化学","2021-01-28","2021-02-09","2021-02-10","12","11700","11700","11700","96993.00","0.00%","7.00%","18.86","0.00","--","0","18.00%","202101280000000042	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000301	","东方盛虹","2021-01-28","2021-02-09","2021-02-10","12","7000","7000","7000","95970.00","0.00%","7.00%","18.66","0.00","--","0","18.00%","202101280000000041	","960000039239	","鸣石宽墨十一号私募证券投资基金"
