仓位
账户,代码,名称,股数,浮盈,均价
msm7haiti,000725,京东方A,-40000,1240.80,5.62
msm7haiti,300296,利亚德,-29800,597.22,6.23
msm7haiti,002085,万丰奥威,-26000,513.16,6.42
msm7haiti,600804,鹏博士,-21100,411.39,6.57
msm7haiti,000503,海虹控股,-20200,1531.58,8.57
msm7haiti,600075,新疆天业,-17300,1518.48,5.64
msm7haiti,300326,凯利泰,-13400,-2083.20,15.89
msm7haiti,300134,大富科技,-12200,-920.98,9.67
msm7haiti,688030,,-6500,2519.39,33.88
msm7haiti,688116,,-4500,2681.49,58.95
msm7haiti,688288,,-3400,1114.10,35.35
msm7haiti,688022,,-2744,483.88,33.58
msm7haiti,688015,,-2100,-140.43,36.59
msm7haiti,000768,中航飞机,-2000,1050.08,33.52
msm7haiti,300482,万孚生物,-1800,4734.03,91.99
msm7haiti,300122,智飞生物,-1600,3999.86,154.48
msm7haiti,300168,万达信息,-1400,147.67,20.71
msm7haiti,002812,,-1400,2254.88,138.34
msm7haiti,601238,广汽集团,-1000,-130.91,13.05
msm7haiti,002382,蓝帆医疗,-1000,-296.33,21.41
msm7haiti,002202,金风科技,-1000,117.90,14.46
msm7haiti,300124,汇川技术,-1000,6.61,89.65
msm7haiti,002294,信立泰,-900,38.85,29.29
msm7haiti,688300,,-900,-254.38,45.36
msm7haiti,688321,,-420,138.96,37.04
msm7haiti,688011,,-300,-330.61,52.01
msm7haiti,300357,我武生物,-300,336.00,75.24
msm7haiti,688021,,-200,-60.29,63.38
msm7haiti,002670,华声股份,700,43.39,11.24
msm7haiti,688099,,800,339.75,71.97
msm7haiti,300274,阳光电源,1000,-2390.03,73.57
msm7haiti,688068,,1400,1097.24,39.46
msm7haiti,600362,江西铜业,2300,521.90,20.63
msm7haiti,688196,,2800,-2245.10,62.94
msm7haiti,000625,长安汽车,4600,73.42,21.81
msm7haiti,000830,鲁西化工,5100,-526.94,13.24
msm7haiti,000157,中联重科,21200,-4137.43,9.51
msm7haiti,600395,盘江股份,24000,-2730.29,8.62
总利润：,6738.02184464792



已完成交易
时间,账户,qid,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
09:31:30,msm7haiti,SJNAT8978d22587a0413897e227f21e247de3,106,601919,中国远洋,11.52,13400,11.52,13400,0,已成
09:34:57,msm7haiti,SJNATcb5636c7686f4693bb56f52e61757e1f,171,601919,中国远洋,11.82,-13400,11.82,-13400,0,已成
09:30:33,msm7haiti,SJNAT8ae23aab66a54d61823e3147e598b9bf,12,601238,广汽集团,13.05,-1000,13.05,-1000,0,已成
09:30:48,msm7haiti,SJNATa91f7a9a63c84e4a96ea80341c796039,57,600884,杉杉股份,18.79,10800,18.79,10800,0,已成
09:34:00,msm7haiti,SJNATfc615ba052d24f1e87de5761835ee956,156,600884,杉杉股份,19.07,-10800,19.07,-10800,0,已成
09:45:58,msm7haiti,SJNAT316505ab73f54638ace3230f857eceb9,256,600804,鹏博士,6.57,-21100,6.57,-21100,0,已成
09:30:33,msm7haiti,SJNATd1ecbf36217e41b6842225246865c8e7,6,600733,S前锋,8.88,24200,8.88,24200,0,已成
09:40:56,msm7haiti,SJNAT362758334ec4406fbb1ef6bae5217304,225,600733,S前锋,8.94,-6400,8.94,-6400,0,已成
09:30:48,msm7haiti,SJNATa39a1dbcc4ac44449ca8c41c28a14a13,56,600531,豫光金铅,6.06,36000,6.06,36000,0,已成
09:32:31,msm7haiti,SJNATcefff8a157e64e52a909a2655f4eb8d6,134,600531,豫光金铅,6.09,-16500,6.1,-16500,0,已成
09:32:54,msm7haiti,SJNAT8890a75762294871830a9b507366b5a1,140,600531,豫光金铅,6.09,-17700,6.09,-17700,0,已成
09:39:02,msm7haiti,SJNAT94d84e5c3e414498b01528218ee6fa54,211,600531,豫光金铅,6.11,-1800,6.11,-1800,0,已成
09:33:00,msm7haiti,SJNAT09f985b59b47440c960160922febd24f,145,600395,盘江股份,8.62,16100,8.62,16100,0,已成
09:33:29,msm7haiti,SJNATa4ead9ba999b4bd7942bf6692806b740,150,600395,盘江股份,8.62,7900,8.62,7900,0,已成
09:30:57,msm7haiti,SJNAT0f84b2df37424ae0a040c4c2db910d3d,74,600362,江西铜业,20.67,2300,20.63,2300,0,已成
09:30:39,msm7haiti,SJNAT0b0ca98054f147fd80361d509d6db603,26,300482,万孚生物,92.02,-1200,92.02,-1200,0,已成
09:32:01,msm7haiti,SJNATc6c2e1585fe6435c8ff89c6859c85bee,124,300482,万孚生物,91.82,-500,91.832,-500,0,已成
09:32:30,msm7haiti,SJNAT0ba14a3804e0433092b7cfc78a96d8f0,132,300482,万孚生物,91.94,-500,92.06,-500,0,已成
09:35:02,msm7haiti,SJNATa8c7feb60f104bee9dc141bb3df85678,177,300482,万孚生物,90.25,400,90.16,400,0,已成
09:30:54,msm7haiti,SJNAT73f1f00524fd46d8ad14053b6f5955ee,68,300357,我武生物,75.24,-300,75.24,-300,0,已成
09:44:31,msm7haiti,SJNATee8e5ee83c57459a8875e577c4a54a70,244,300326,凯利泰,15.89,-13400,15.89,-13400,0,已成
09:32:32,msm7haiti,SJNAT23e88fa0da864074adc009c30bd41a60,137,300296,利亚德,6.23,-29800,6.23,-29800,0,已成
09:30:33,msm7haiti,SJNAT788171b7e44c437daf4f9db116d16706,15,300274,阳光电源,73.66,1000,73.573,1000,0,已成
09:31:00,msm7haiti,SJNATb125b5939a0240c8aa972e8238d57af2,82,300168,万达信息,20.7,-1400,20.70857,-1400,0,已成
09:45:59,msm7haiti,SJNAT2439ed2b7f5a4e3f9afb952782c2c617,257,300134,大富科技,9.67,-12200,9.67,-12200,0,已成
09:51:31,msm7haiti,SJNATf52b5a09e55b4578b25b4edf1af00178,287,300124,汇川技术,89.65,-1000,89.65,-1000,0,已成
09:31:56,msm7haiti,SJNAT0121fa63bbfd474295e1fddb8a92cdb2,116,300122,智飞生物,154.49,-500,154.49,-500,0,已成
09:32:01,msm7haiti,SJNATd878638aa84a4093b754dd4c2613bd5b,123,300122,智飞生物,154.35,-800,154.35,-800,0,已成
09:31:59,msm7haiti,SJNATb4191bcb285742eaabd0b970ec79cafe,121,002812,,138.17,-300,138.17,-300,0,已成
09:32:01,msm7haiti,SJNAT04398da3fe5049aebfcd4c2e5e6914ba,122,002812,,138.17,-300,138.17,-300,0,已成
09:33:59,msm7haiti,SJNAT29072fb549c546f9b4c4272f1cd0bdab,154,002812,,138.47,-800,138.47,-800,0,已成
09:30:33,msm7haiti,SJNATe3ad5398f1d1407da78b46551adf722f,11,002670,华声股份,11.24,700,11.24,700,0,已成
09:30:33,msm7haiti,SJNAT4387326769fc4a45b0bd0cdddd107af0,5,002466,天齐锂业,38.06,4100,38.06,4100,0,已成
09:45:30,msm7haiti,SJNAT2f59972c99a3482cba671fd6a7a06b5c,253,002466,天齐锂业,39.37,-4100,39.37,-4100,0,已成
09:30:33,msm7haiti,SJNAT0af8a5aa8beb4c848660a5e672746d87,13,002460,赣锋锂业,107.51,200,107.4,200,0,已成
09:33:28,msm7haiti,SJNAT0b9fcc1bc6af46bf9526eb46edc08f2a,149,002460,赣锋锂业,107.43,-200,107.43,-200,0,已成
09:30:51,msm7haiti,SJNAT50531b951b9a4ba4b82d0d5206f1ba7d,60,002382,蓝帆医疗,21.39,-100,21.39,-100,0,已成
09:48:59,msm7haiti,SJNAT46c80eef6e9d462fb9efc584f9387c55,278,002294,信立泰,29.29,-900,29.29,-900,0,已成
