仓位
账户,代码,名称,股数,浮盈,均价
msm7haiti,000725,undefined,-40000,-2360.28,5.62
msm7haiti,300296,undefined,-29800,-2383.67,6.23
msm7haiti,002085,undefined,-26000,3894.18,6.42
msm7haiti,600804,undefined,-21100,622.45,6.57
msm7haiti,000503,undefined,-20200,4360.43,8.57
msm7haiti,600075,undefined,-17300,1172.37,5.64
msm7haiti,300326,undefined,-13400,-2351.28,15.89
msm7haiti,688030,undefined,-6500,-1641.85,33.88
msm7haiti,688116,undefined,-4500,-2990.21,58.95
msm7haiti,688288,undefined,-3400,603.94,35.35
msm7haiti,688015,undefined,-2400,-1277.51,36.64
msm7haiti,000768,undefined,-2000,1850.33,33.52
msm7haiti,300482,undefined,-1800,6084.43,91.99
msm7haiti,300122,undefined,-1600,3919.84,154.48
msm7haiti,002812,undefined,-1400,-405.91,138.34
msm7haiti,002202,undefined,-1000,207.93,14.46
msm7haiti,300124,undefined,-1000,-1923.97,89.65
msm7haiti,002382,undefined,-1000,-606.42,21.41
msm7haiti,688300,undefined,-900,-326.40,45.36
msm7haiti,688321,undefined,-420,134.76,37.04
msm7haiti,300357,undefined,-300,444.03,75.24
msm7haiti,688021,undefined,-200,-100.31,63.38
msm7haiti,688389,undefined,-62,-10.55,21.44
msm7haiti,688022,undefined,-44,-42.86,33.58
msm7haiti,002670,undefined,700,134.22,11.24
msm7haiti,002271,undefined,2000,-724.85,39.26
msm7haiti,688196,undefined,2800,-2578.70,62.94
msm7haiti,000830,undefined,5100,-1392.39,13.24
msm7haiti,000157,undefined,21200,-1169.48,9.51
总利润：,1142.2679200000002



已完成交易
时间,账户,qid,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
10:56:29,msm7haiti,SJNAT9b887c217f674ffaac7a29f6489a9b60,365,688015,交控科技,37.06,900,0,0,900,已撤
10:56:57,msm7haiti,SJNAT914267f4e661479ab7f69efb0c2b5dd1,366,600395,盘江股份,8.28,-11200,0,0,11200,已撤
10:56:57,msm7haiti,SJNAT31d4406fc742431195a53dd6dc909032,367,688021,奥福环保,63.44,2700,0,0,2700,已撤
10:56:59,msm7haiti,SJNAT750744d3488c424a8f69d6ed82963afc,368,600362,江西铜业,20.79,-2300,20.8,-2300,0,已成
10:57:00,msm7haiti,SJNAT9510762bac7744c9b9a487ab04377375,369,600395,盘江股份,8.27,-1600,8.27,-1600,0,已成
10:58:00,msm7haiti,SJNATea19535fb716416886314a00724cef27,372,600395,盘江股份,8.27,-12100,8.27,-1600,10500,已撤
10:58:58,msm7haiti,SJNAT217003c022744b74ac413aa835a672a1,374,688022,瀚川智能,33.79,-100,0,0,0,废单
10:59:24,msm7haiti,SJNAT2ed766383ec2463d8480cf762a45dfb8,376,688068,热景生物,41.67,-1400,41.7,-1400,0,已成
10:59:56,msm7haiti,SJNATdc7c8af9706441068c6d67e5edbf721b,377,000625,长安汽车,22.39,-4600,22.39,-4600,0,已成
11:03:57,msm7haiti,SJNATc670652bf37f471eb4369fe4be0847a8,378,601238,广汽集团,13.72,1000,13.72,1000,0,已成
11:03:58,msm7haiti,SJNATca4e11aef75a42fb9bce85349b9d3014,379,600395,盘江股份,8.3,-13200,0,0,13200,已撤
11:04:24,msm7haiti,SJNAT99300e144c9b45cd94dbc3d12d53fe90,382,600395,盘江股份,8.28,-11400,0,0,11400,已撤
11:05:24,msm7haiti,SJNAT6d52b8c558254c0c800b86315cd8275d,384,600395,盘江股份,8.28,-12200,0,0,12200,已撤
11:05:54,msm7haiti,SJNAT02a06b99d43745538f8a02eb39f55f01,386,688015,交控科技,37.08,400,0,0,400,已撤
11:06:24,msm7haiti,SJNATca3aad3e22594e51a180e7c35a7301a7,388,688021,奥福环保,63.71,-200,0,0,200,已撤
11:06:29,msm7haiti,SJNAT1728ab8411fd48f2af0b4419701ba2fb,389,688022,瀚川智能,34.01,1500,34.01,1500,0,已成
11:07:31,msm7haiti,SJNAT2981af2d5f524853bac8a487f1d43f70,391,688021,奥福环保,63.69,-600,0,0,600,已撤
11:10:26,msm7haiti,SJNATfe848fd698bc43d69a20b993db341908,393,688389,普门科技,21.16,2800,0,0,2800,已撤
11:10:58,msm7haiti,SJNATe45cd25abedf409f91ebfcae8f42a32c,394,688288,鸿泉物联,35.19,100,0,0,0,废单
11:11:28,msm7haiti,SJNATbc330a913d5043198db207e4768c2be1,396,600395,盘江股份,8.26,-18600,8.26,-6000,12600,已撤
11:11:29,msm7haiti,SJNAT8b90c146343e4d06bd8f52ef45734b72,397,688288,鸿泉物联,35.19,100,0,0,0,废单
11:12:25,msm7haiti,SJNATe112fe23a05145f194724e84433d844e,399,600395,盘江股份,8.3,-7400,8.3,-7200,200,已撤
11:12:28,msm7haiti,SJNAT3a12449cab9843d1b9189cf40d9495a3,400,600395,盘江股份,8.29,-7200,8.29,-7200,0,已成
11:12:55,msm7haiti,SJNATfd093c617a554bada8b716474972dd2a,402,688389,普门科技,21.44,-1300,21.44,-665,635,已撤
11:12:56,msm7haiti,SJNATc4459bc5da044f47ae7467c130cb5dc4,403,600395,盘江股份,8.29,-400,8.29,-400,0,已成
11:12:58,msm7haiti,SJNATed3e10452c334ddca88daf10dac70a93,404,688015,交控科技,37.03,300,0,0,300,已撤
11:12:58,msm7haiti,SJNATb25f2a904e854003862a0e1b00468eb0,405,688288,鸿泉物联,35.2,100,0,0,0,废单
11:13:29,msm7haiti,SJNAT21ec4f68cd8b48b4afeaee1aac17c7a2,408,688389,普门科技,21.39,-4100,0,0,4100,已撤
11:13:32,msm7haiti,SJNAT943037c7ece4425e9f187e59975c3297,409,688015,交控科技,37.03,300,0,0,300,已撤
11:13:58,msm7haiti,SJNATdd699320ce4244d2878a703c393c9e4d,411,688389,普门科技,21.15,2900,0,0,2900,已撤
11:14:32,msm7haiti,SJNAT397c74b5e0a54228bf32987368e3ab13,412,688389,普门科技,21.16,100,0,0,0,废单
11:15:26,msm7haiti,SJNAT73d5f389afcd463690746bfd77d107e1,415,688389,普门科技,21.16,3000,0,0,3000,已撤
11:16:26,msm7haiti,SJNATd66077b02b1941d58fd539bcf11187db,416,688022,瀚川智能,34.06,1200,34.05,1200,0,已成
11:18:55,msm7haiti,SJNAT54756faee21f497f8ce73eb1b273cf81,418,688389,普门科技,21.46,-1000,0,0,1000,已撤
11:19:01,msm7haiti,SJNATd47a82300a3b49668cedbfd1d377f0d4,420,688389,普门科技,21.46,-1000,21.46,-1000,0,已成
11:20:29,msm7haiti,SJNAT218dae8416f749f1984f6a52ee45e75a,421,688389,普门科技,21.45,-2100,21.45,-994,1106,已撤
11:20:55,msm7haiti,SJNAT7ea4b98213ff48dfa979362c7053b5c0,423,688389,普门科技,21.45,-1100,0,0,1100,已撤
11:23:26,msm7haiti,SJNAT3823a480c09f457ab720d86a2b125de6,425,688389,普门科技,21.44,-1600,21.44,-1600,0,已成
11:23:29,msm7haiti,SJNAT94b9c54bbe924378839765ae4a647824,426,688389,普门科技,21.44,-1600,21.44,-1600,0,已成
11:23:54,msm7haiti,SJNAT83ef3b829e6b4f9ba7278ee68a21678c,427,688389,普门科技,21.45,-1500,21.45,-1028,472,已撤
11:24:01,msm7haiti,SJNAT2e76676576e44707876a0074c20c8aab,429,688389,普门科技,21.44,-1700,21.44,-1075,625,已撤
11:24:58,msm7haiti,SJNATa02ebe9326574937bd6e93d8cb2496dd,430,688389,普门科技,21.19,1400,0,0,1400,已撤
11:25:00,msm7haiti,SJNAT639b36e1246144be86e5ca795f42293d,432,688022,瀚川智能,34.1,100,0,0,0,废单
11:25:24,msm7haiti,SJNAT12fd81b66602447fa4a011dc41020046,433,688389,普门科技,21.21,5100,0,0,5100,已撤
11:25:26,msm7haiti,SJNAT5518c4bbe0d94fdd8725318e2c3fc770,435,688022,瀚川智能,34.31,100,0,0,0,废单
11:25:28,msm7haiti,SJNAT22c50810443a441095488f4b6362e221,436,002271,东方雨虹,39.26,2000,39.26,2000,0,已成
11:25:29,msm7haiti,SJNAT223ce068a47e4cc89e01bf067c02833d,437,688022,瀚川智能,34.25,100,0,0,0,废单
11:25:32,msm7haiti,SJNAT57bde2d562ee4066adc4cdc3af7cfc5e,439,688389,普门科技,21.23,9500,0,0,9500,已撤
11:25:55,msm7haiti,SJNATf0d1907ad7ba402a9b1a699c641816ce,441,688022,瀚川智能,34.34,100,0,0,0,废单
11:25:58,msm7haiti,SJNATae347862816f46a3be2b8b158899c3a1,443,688022,瀚川智能,34.34,100,0,0,0,废单
11:25:58,msm7haiti,SJNATb51007b078ac41ab9db03367d9471648,444,688389,普门科技,21.23,1500,0,0,1500,已撤
11:26:26,msm7haiti,SJNATadb47445a1fa48ed90faa9d7da3f4e79,445,688389,普门科技,21.24,800,0,0,800,已撤
11:26:55,msm7haiti,SJNATa831495691c7414885778249a196dca9,447,688389,普门科技,21.24,700,0,0,700,已撤
11:27:58,msm7haiti,SJNATc6cf323bce1c4ff994f2ac338d317cb6,450,688389,普门科技,21.43,-800,21.43,-800,0,已成
11:29:01,msm7haiti,SJNATfd0b1ac08dae407dafe3bed86921ee96,451,688389,普门科技,21.45,-800,21.45,-800,0,已成
13:06:27,msm7haiti,SJNAT03f2501bbc454be1af395afe556e329a,452,002294,信立泰,28.4,900,0,0,900,已撤
13:08:24,msm7haiti,SJNAT2495eb735f3543a4a99a3fb042e2a9c4,454,688389,普门科技,21.61,5200,21.59017,5200,0,已成
13:08:29,msm7haiti,SJNATa4cd294e1f4d460380f10d9b07491105,455,688389,普门科技,21.61,4300,0,0,4300,已撤
13:08:56,msm7haiti,SJNAT328ec340a3654a91af4373cb8981d154,457,002294,信立泰,28.43,300,28.43,300,0,已成
13:08:58,msm7haiti,SJNAT6ad160efbbd54a6fbfcf2d0116a9d7e7,458,688389,普门科技,21.71,4300,21.6988,4300,0,已成
13:09:28,msm7haiti,SJNAT4f9712cb1f124b29bc1f3b7b96f6e9a9,459,002294,信立泰,28.43,600,28.43,600,0,已成
