时间,账户,qid,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
13:13:29,mslh18hait6618,SJNATcf28d8c0a3eb42e5bbf21a400169c100,10302,2698,博实股份,12.6,100,12.59,100,0,已成
13:13:56,mslh18hait6618,SJNAT18e987830d294570b26ea87bb74b4260,10304,601969,海南矿业,6.28,-5800,0,0,5800,已撤
13:13:56,mslh18hait6618,SJNAT2ada50703eba49b7908602110f09cf59,10307,2108,沧州明珠,4.85,-2800,4.85,-2800,0,已成
13:14:01,mslh18hait6618,SJNATd2c8563fdf844624bad4e38c8781f12c,10308,300718,长盛轴承,17.92,200,17.92,200,0,已成
13:15:28,mslh18hait6618,SJNATaf2d75e7ea4543269620ba820ef3a8f6,10313,2126,银轮股份,13.64,-900,13.64,-900,0,已成
13:15:31,mslh18hait6618,SJNAT03e33330b29d48be87d44d79bcebd077,10316,2773,康弘药业,47.73,500,47.73,500,0,已成
13:16:31,mslh18hait6618,SJNAT9196f0cfcfb94232aab64396d1e4482d,10318,603096,新经典,50,100,49.98,100,0,已成
13:16:58,mslh18hait6618,SJNATad010327a5ca4902a357765ac82e263b,10320,600338,西藏珠峰,10.11,-8800,10.12,-8800,0,已成
13:16:58,mslh18hait6618,SJNAT54a6c2fb384440cd9a35a2ea4c2e8bd0,10321,300006,莱美药业,8.08,3800,8.08,500,3300,已撤
13:17:01,mslh18hait6618,SJNAT4c2dadf5a5414d2c81c3728cc428430d,10324,600338,西藏珠峰,10.11,-2800,10.11,-2800,0,已成
13:17:01,mslh18hait6618,SJNATb414b764d086401f83cd000fdf2bdadb,10325,300255,常山药业,6.19,2600,6.19,2600,0,已成
13:17:57,mslh18hait6618,SJNAT82c25f29deac465d99c3f948077f65db,10328,2517,恺英网络,4.44,-600,4.44,-600,0,已成
13:18:01,mslh18hait6618,SJNAT851b5c40d2d24fd5baf40e1631e726c4,10329,2409,雅克科技,58.08,2100,58.03,2100,0,已成
13:18:28,mslh18hait6618,SJNAT5b432805ceea463888cbb39bbdb437e5,10335,2126,银轮股份,13.67,-7200,13.67,-7200,0,已成
