证券代码,证券名称,起始日,归还日,到期日,剩余期限,合约数量,日初合约数量,已用数量,合约金额,使用费率,占用利率,预计占用利息,已还利息,展期后到期日,展期次数,违约金率,合约编号,资产账号,账户名称
"600776	",东方通信,2021/1/20,2021/2/2,2021/2/3,10,7900,7900,7900,99382,0.00%,8.50%,117.33,0,--,0,18.00%,"202101200000001043	","960000039239	",鸣石宽墨十一号私募证券投资基金
"002156	",通富微电,2021/1/20,2021/2/2,2021/2/3,10,3400,3400,3400,102272,0.00%,8.50%,120.74,0,--,0,18.00%,"202101200000001035	","960000039239	",鸣石宽墨十一号私募证券投资基金
"600316	",洪都航空,2021/1/20,2021/1/25,2021/1/26,2,3900,3900,3900,202605,0.00%,9.00%,253.26,0,--,0,18.00%,"202101200000001016	","960000039239	",鸣石宽墨十一号私募证券投资基金
"601766	",中国中车,2021/1/20,2021/2/10,2021/2/16,23,19200,19200,19200,131904,0.00%,9.00%,164.88,0,--,0,18.00%,"202101200000000956	","960000039239	",鸣石宽墨十一号私募证券投资基金
"002460	",赣锋锂业,2021/1/20,2021/2/1,2021/2/2,9,100,100,100,12698,0.00%,9.00%,15.87,0,--,0,18.00%,"202101200000000952	","960000039239	",鸣石宽墨十一号私募证券投资基金
"601919	",中远海控,2021/1/20,2021/2/1,2021/2/2,9,1500,1500,1500,21060,0.00%,5.00%,14.63,0,--,0,18.00%,"202101200000000048	","960000039239	",鸣石宽墨十一号私募证券投资基金
"600460	",士兰微,2021/1/20,2021/2/10,2021/2/16,23,4200,4200,4200,108360,0.00%,7.00%,105.35,0,--,0,18.00%,"202101200000000047	","960000039239	",鸣石宽墨十一号私募证券投资基金
"300274	",阳光电源,2021/1/20,2021/2/1,2021/2/2,9,1200,1200,1200,110640,0.00%,7.00%,107.57,0,--,0,18.00%,"202101200000000046	","960000039239	",鸣石宽墨十一号私募证券投资基金
"000725	",京东方Ａ,2021/1/20,2021/1/29,2021/2/1,8,1200,1200,1200,8052,0.00%,5.00%,5.59,0,--,0,18.00%,"202101200000000045	","960000039239	",鸣石宽墨十一号私募证券投资基金
"300274	",阳光电源,2021/1/19,2021/2/1,2021/2/2,9,1200,1200,1200,100680,0.00%,8.50%,142.63,0,--,0,18.00%,"202101190000002143	","960000039239	",鸣石宽墨十一号私募证券投资基金
