fund_account,asset_prop,exchange_type,stock_code,stock_name,stock_type,current_amount,hold_amount,enable_amount,last_price,cost_price,income_balance,hand_flag,market_value,av_buy_price,av_income_balance,cost_balance,uncome_buy_amount,uncome_sell_amount,entrust_sell_amount,real_buy_amount,real_sell_amount,asset_price,keep_cost_price,assure_ratio
900010001362,7,2,000921,海信家电,0,7200.000,7200.000,0.000,17.050,16.828,1596.990,0,122760.000,16.643,-2067.930,121163.010,0.000,0.000,7200.000,7200.000,7200.000,17.050,16.828,0.650
900010001362,7,2,002919,名臣健康,0,100.000,100.000,0.000,39.400,38.299,110.060,0,3940.000,38.360,0.000,3829.940,0.000,0.000,100.000,100.000,100.000,39.400,38.299,0.650
900010001362,7,2,000910,大亚圣象,0,100.000,100.000,100.000,13.730,12.270,146.040,0,1373.000,13.590,112.930,1226.960,0.000,0.000,0.000,0.000,0.000,13.730,12.270,0.500
900010001362,7,2,300136,信维通信,c,0.000,1000.000,0.000,39.170,0.000,-409.470,0,0.000,39.427,0.000,409.470,0.000,0.000,1000.000,0.000,1000.000,39.170,39.427,0.700
900010001362,7,1,600986,浙文互联,0,1700.000,1700.000,1700.000,4.340,4.324,26.670,0,7378.000,4.372,59.590,7351.330,0.000,0.000,0.000,0.000,0.000,4.340,4.324,0.000
900010001362,7,1,600391,航发科技,0,3900.000,6400.000,3300.000,23.360,23.914,-2160.770,0,91104.000,23.793,0.000,93264.770,0.000,0.000,3100.000,600.000,3100.000,23.360,23.914,0.000
900010001362,7,2,000426,兴业矿业,0,300.000,300.000,300.000,7.430,7.211,65.640,0,2229.000,7.210,0.000,2163.360,0.000,0.000,0.000,0.000,0.000,7.430,7.211,0.590
900010001362,7,2,002242,九阳股份,0,100.000,100.000,100.000,32.400,31.940,46.000,0,3240.000,32.470,60.560,3194.000,0.000,0.000,0.000,0.000,0.000,32.400,31.940,0.650
900010001362,7,2,002456,欧菲光,0,1000.000,0.000,0.000,13.920,13.922,-2.420,0,13920.000,0.000,0.000,13922.420,0.000,0.000,0.000,1000.000,0.000,13.920,13.922,0.650
900010001362,7,2,002085,万丰奥威,0,100.000,0.000,0.000,5.920,5.932,-1.150,0,592.000,0.000,0.000,593.150,0.000,0.000,0.000,100.000,0.000,5.920,5.932,0.000
900010001362,7,2,300782,卓胜微,c,100.000,100.000,0.000,666.010,675.859,-984.890,0,66601.000,668.860,0.000,67585.890,0.000,0.000,100.000,100.000,100.000,666.010,675.859,0.550
900010001362,7,1,600422,昆药集团,0,100.000,100.000,100.000,8.470,8.502,-3.150,0,847.000,8.500,0.000,850.150,0.000,0.000,0.000,0.000,0.000,8.470,8.502,0.650
900010001362,7,1,600710,苏美达,0,200.000,200.000,200.000,5.060,5.131,-14.170,0,1012.000,5.130,0.000,1026.170,0.000,0.000,0.000,0.000,0.000,5.060,5.131,0.650
900010001362,7,1,600058,五矿发展,0,100.000,100.000,100.000,6.640,6.591,4.890,0,664.000,6.590,0.000,659.110,0.000,0.000,0.000,0.000,0.000,6.640,6.591,0.650
900010001362,7,2,300011,鼎汉技术,c,300.000,300.000,300.000,6.730,6.401,98.670,0,2019.000,6.400,0.000,1920.330,0.000,0.000,0.000,0.000,0.000,6.730,6.401,0.450
900010001362,7,1,600586,金晶科技,0,30400.000,25200.000,0.000,7.800,6.462,40670.740,0,237120.000,8.060,-5452.000,196449.260,0.000,0.000,25200.000,30400.000,25200.000,7.800,6.462,0.650
900010001362,7,2,300373,扬杰科技,c,5000.000,5000.000,5000.000,48.230,49.292,-5307.900,0,241150.000,49.283,0.000,246457.900,0.000,0.000,0.000,0.000,0.000,48.230,49.292,0.650
900010001362,7,2,300383,光环新网,c,300.000,300.000,300.000,17.500,17.933,-129.920,0,5250.000,17.930,0.000,5379.920,0.000,0.000,0.000,0.000,0.000,17.500,17.933,0.650
900010001362,7,1,600123,兰花科创,0,200.000,200.000,200.000,5.180,5.231,-10.180,0,1036.000,5.230,0.000,1046.180,0.000,0.000,0.000,0.000,0.000,5.180,5.231,0.640
900010001362,7,2,002851,麦格米特,0,0.000,200.000,0.000,37.910,0.000,39.950,0,0.000,37.120,0.000,-39.950,0.000,0.000,200.000,0.000,200.000,37.910,37.120,0.650
900010001362,7,2,000589,贵州轮胎,0,4400.000,4400.000,0.000,7.680,7.281,1754.820,0,33792.000,7.560,-3190.160,32037.180,0.000,0.000,4400.000,4400.000,4400.000,7.680,7.281,0.650
900010001362,7,1,600496,精工钢构,0,3200.000,2600.000,2600.000,5.300,5.427,-405.130,0,16960.000,5.507,-32.060,17365.130,0.000,0.000,0.000,600.000,0.000,5.300,5.427,0.650
900010001362,7,1,601117,中国化学,0,14000.000,14000.000,14000.000,6.050,6.309,-3624.000,0,84700.000,6.308,0.000,88324.000,0.000,0.000,0.000,0.000,0.000,6.050,6.309,0.650
900010001362,7,1,600125,铁龙物流,0,2500.000,0.000,0.000,5.490,5.491,-2.470,0,13725.000,0.000,0.000,13727.470,0.000,0.000,0.000,2500.000,0.000,5.490,5.491,0.650
900010001362,7,2,300673,佩蒂股份,c,100.000,0.000,0.000,34.630,34.206,42.370,0,3463.000,0.000,0.000,3420.630,0.000,0.000,0.000,100.000,0.000,34.630,34.206,0.650
900010001362,7,1,603336,宏辉果蔬,0,100.000,100.000,100.000,9.780,9.812,-3.170,0,978.000,9.810,0.000,981.170,0.000,0.000,0.000,0.000,0.000,9.780,9.812,0.650
900010001362,7,2,002773,康弘药业,0,100.000,100.000,100.000,40.000,40.087,-8.680,0,4000.000,40.080,0.000,4008.680,0.000,0.000,0.000,0.000,0.000,40.000,40.087,0.650
900010001362,7,2,300573,兴齐眼药,c,200.000,200.000,200.000,99.260,99.902,-f128.390,0,19852.000,99.885,0.000,19980.390,0.000,0.000,0.000,0.000,0.000,99.260,99.902,0.550
900010001362,7,2,002138,顺络电子,0,700.000,700.000,700.000,26.560,26.769,-146.180,0,18592.000,26.764,0.000,18738.180,0.000,0.000,0.000,0.000,0.000,26.560,26.769,0.650
900010001362,7,2,002430,杭氧股份,0,1100.000,1100.000,1100.000,27.350,28.774,-1566.350,0,30085.000,28.799,78.040,31651.350,0.000,0.000,0.000,0.000,0.000,27.350,28.774,0.650
900010001362,7,1,603056,德邦股份,0,800.000,800.000,0.000,14.560,13.294,1012.540,0,11648.000,13.375,-414.240,10635.460,0.000,0.000,800.000,800.000,800.000,14.560,13.294,0.650
900010001362,7,2,300366,创意信息,c,100.000,0.000,0.000,8.470,8.462,0.800,0,847.000,0.000,0.000,846.200,0.000,0.000,0.000,100.000,0.000,8.470,8.462,0.650
