fund_account,asset_prop,exchange_type,stock_code,stock_name,stock_type,current_amount,hold_amount,enable_amount,last_price,cost_price,income_balance,hand_flag,market_value,av_buy_price,av_income_balance,cost_balance,uncome_buy_amount,uncome_sell_amount,entrust_sell_amount,real_buy_amount,real_sell_amount,asset_price,keep_cost_price,assure_ratio
960000039239,7,1,600967,内蒙一机,0,10000.000,0.000,0.000,12.180,12.222,-417.150,0,121800.000,0.000,0.000,122217.150,0.000,0.000,0.000,10000.000,0.000,12.180,12.222,0.650
960000039239,7,2,300059,东方财富,c,5300.000,5300.000,0.000,39.680,38.483,6346.560,0,210304.000,37.885,-893.700,203957.440,0.000,0.000,5300.000,5300.000,5300.000,39.680,38.483,0.550
960000039239,7,2,300274,阳光电源,c,2400.000,2400.000,0.000,93.400,89.942,8298.730,0,224160.000,90.260,0.000,215861.270,0.000,0.000,2400.000,2400.000,2400.000,93.400,89.942,0.450
960000039239,7,1,600460,士兰微,0,7900.000,7900.000,0.000,27.200,26.076,8883.490,0,214880.000,26.030,0.000,205996.510,0.000,0.000,7900.000,7900.000,7900.000,27.200,26.076,0.000
960000039239,7,2,300118,东方日升,c,7700.000,7700.000,0.000,27.070,26.097,7490.110,0,208439.000,25.217,-4360.110,200948.890,0.000,0.000,7700.000,7700.000,7700.000,27.070,26.097,0.650
960000039239,7,1,600827,百联股份,0,10000.000,10000.000,0.000,19.410,19.597,-1865.780,0,194100.000,19.884,2374.900,195965.780,0.000,0.000,10000.000,10000.000,10000.000,19.410,19.597,0.600
960000039239,7,1,600760,中航沈飞,0,2400.000,2400.000,2400.000,84.240,87.102,-6868.280,0,202176.000,82.080,-8758.240,209044.280,0.000,0.000,0.000,0.000,0.000,84.240,87.102,0.550
960000039239,7,2,002407,多氟多,0,10000.000,10000.000,0.000,23.610,22.117,14934.710,0,236100.000,22.292,1281.980,221165.290,0.000,0.000,10000.000,10000.000,10000.000,23.610,22.117,0.000
960000039239,7,2,002460,赣锋锂业,0,100.000,0.000,0.000,127.800,128.009,-20.850,0,12780.000,0.000,0.000,12800.850,0.000,0.000,0.000,100.000,0.000,127.800,128.009,0.000
960000039239,7,1,600616,金枫酒业,0,22800.000,22800.000,22800.000,8.950,8.398,12588.200,0,204060.000,8.397,0.000,191471.800,0.000,0.000,0.000,0.000,0.000,8.950,8.398,0.540
960000039239,7,2,002646,青青稞酒,0,12400.000,12400.000,0.000,17.250,15.169,25808.000,0,213900.000,15.150,0.000,188092.000,0.000,0.000,12400.000,12400.000,12400.000,17.250,15.169,0.490
960000039239,7,1,603799,华友钴业,0,2400.000,2400.000,0.000,90.250,82.781,17924.530,0,216600.000,84.330,-2304.780,198675.470,0.000,0.000,2400.000,2400.000,2400.000,90.250,82.781,0.000
960000039239,7,1,600197,伊力特,0,4100.000,4100.000,0.000,24.920,24.213,2899.580,0,102172.000,23.679,0.000,99272.420,0.000,0.000,4100.000,4100.000,4100.000,24.920,24.213,0.650
960000039239,7,2,300001,特锐德,c,1000.000,1000.000,0.000,36.850,36.767,82.740,0,36850.000,35.050,-505.810,36767.260,0.000,0.000,1000.000,1000.000,1000.000,36.850,36.767,0.650
960000039239,7,1,600776,东方通信,0,7900.000,0.000,0.000,12.490,12.432,460.210,0,98671.000,0.000,0.000,98210.790,0.000,0.000,0.000,7900.000,0.000,12.490,12.432,0.640
960000039239,7,1,600862,中航高科,0,5600.000,5600.000,200.000,37.100,35.217,10547.160,0,207760.000,35.744,-1303.280,197212.840,0.000,0.000,5400.000,5400.000,5400.000,37.100,35.217,0.550
960000039239,7,1,600415,小商品城,0,11500.000,5500.000,5500.000,5.440,5.512,-828.920,0,62560.000,5.480,0.000,63388.920,0.000,0.000,0.000,6000.000,0.000,5.440,5.512,0.550
960000039239,7,2,002156,通富微电,0,3400.000,0.000,0.000,29.650,29.673,-79.180,0,100810.000,0.000,0.000,100889.180,0.000,0.000,0.000,3400.000,0.000,29.650,29.673,0.000
960000039239,7,1,600316,洪都航空,0,7800.000,0.000,0.000,51.700,51.797,-758.610,0,403260.000,0.000,0.000,404018.610,0.000,0.000,0.000,7800.000,0.000,51.700,51.797,0.000
960000039239,7,2,000733,振华科技,0,3800.000,3800.000,3800.000,61.030,62.474,-5486.430,0,231914.000,60.258,-10183.300,237400.430,0.000,0.000,0.000,0.000,0.000,61.030,62.474,0.650
960000039239,7,2,000100,TCL科技,0,21500.000,21500.000,0.000,9.800,9.233,12180.420,0,210700.000,9.220,0.000,198519.580,0.000,0.000,21500.000,21500.000,21500.000,9.800,9.233,0.620
960000039239,7,1,601919,中远海控,0,14300.000,14300.000,0.000,14.570,13.890,9722.030,0,208351.000,14.130,0.000,198628.970,0.000,0.000,14300.000,14300.000,14300.000,14.570,13.890,0.650
960000039239,7,2,000725,京东方Ａ,0,30700.000,30700.000,0.000,6.980,6.741,7338.430,0,214286.000,6.761,0.000,206947.570,0.000,0.000,30700.000,30700.000,30700.000,6.980,6.741,0.670
960000039239,7,1,601766,中国中车,0,27900.000,8700.000,8700.000,6.940,6.864,2115.140,0,193626.000,6.760,0.000,191510.860,0.000,0.000,0.000,19200.000,0.000,6.940,6.864,0.700
960000039239,7,2,002340,格林美,0,11900.000,11900.000,0.000,8.600,7.872,8660.810,0,102340.000,8.165,-123.550,93679.190,0.000,0.000,11900.000,11900.000,11900.000,8.600,7.872,0.610
960000039239,7,2,300014,亿纬锂能,c,2200.000,2200.000,0.000,105.610,87.898,38965.750,0,232342.000,97.629,-12031.710,193376.250,0.000,0.000,2200.000,2200.000,2200.000,105.610,87.898,0.550
960000039239,7,1,600855,航天长峰,0,6200.000,6200.000,4300.000,15.530,15.412,729.710,0,96286.000,15.450,0.000,95556.290,0.000,0.000,1900.000,1900.000,1900.000,15.530,15.412,0.650
960000039239,7,2,000503,国新健康,0,3700.000,3700.000,0.000,7.910,7.969,-217.860,0,29267.000,7.884,0.000,29484.860,0.000,0.000,3700.000,3700.000,3700.000,7.910,7.969,0.000
960000039239,7,1,603993,洛阳钼业,0,32100.000,32100.000,32100.000,6.310,6.181,4149.230,0,202551.000,6.180,0.000,198401.770,0.000,0.000,0.000,0.000,0.000,6.310,6.181,0.700
960000039239,7,2,002570,贝因美,0,26900.000,26900.000,17100.000,5.240,5.072,4522.050,0,140956.000,5.155,1968.890,136433.950,0.000,0.000,9800.000,9800.000,9800.000,5.240,5.072,0.000
