,_id,DataDate,AcctIDByMXZ,SecurityID,Symbol,LongQty,ShortQty,NetQty,LongAmt,ShortAmt,NetAmt,CompositeSource
40,5fd1ef1c0603f464dc9dfefc,20201209,307_m_hait_2000,002214,大立科技,6200,6200.0,0.0,150660.0,150660.0,0.0,AutoT0
41,5fd1ef1c0603f464dc9dfefd,20201209,307_m_hait_2000,688138,清溢光电,7400,7400.0,0.0,176416.0,176416.0,0.0,AutoT0
42,5fd1ef1c0603f464dc9dfefe,20201209,307_m_hait_2000,688116,天奈科技,4593,4600.0,-7.0,197039.69999999998,197340.0,-300.30000000001746,AutoT0
43,5fd1ef1c0603f464dc9dfeff,20201209,307_m_hait_2000,002460,赣锋锂业,200,200.0,0.0,16000.0,16000.0,0.0,AutoT0
44,5fd1ef1c0603f464dc9dff00,20201209,307_m_hait_2000,600066,宇通客车,10600,10600.0,0.0,183486.0,183486.0,0.0,AutoT0
45,5fd1ef1c0603f464dc9dff01,20201209,307_m_hait_2000,600895,张江高科,10600,10600.0,0.0,188680.0,188680.0,0.0,AutoT0
46,5fd1ef1c0603f464dc9dff02,20201209,307_m_hait_2000,600486,扬农化工,1600,1600.0,0.0,190896.0,190896.0,0.0,AutoT0
47,5fd1ef1c0603f464dc9dff03,20201209,307_m_hait_2000,688068,热景生物,5000,5000.0,0.0,179700.0,179700.0,0.0,AutoT0
48,5fd1ef1c0603f464dc9dff04,20201209,307_m_hait_2000,688021,奥福环保,2600,2600.0,0.0,178100.0,178100.0,0.0,AutoT0
49,5fd1ef1c0603f464dc9dff05,20201209,307_m_hait_2000,002044,美年健康,12600,12600.0,0.0,157752.0,157752.0,0.0,AutoT0
50,5fd1ef1c0603f464dc9dff06,20201209,307_m_hait_2000,300124,汇川技术,1000,1000.0,0.0,84030.0,84030.0,0.0,AutoT0
51,5fd1ef1c0603f464dc9dff07,20201209,307_m_hait_2000,000157,中联重科,19400,19400.0,0.0,192060.0,192060.0,0.0,AutoT0
52,5fd1ef1c0603f464dc9dff08,20201209,307_m_hait_2000,601636,旗滨集团,17400,17400.0,0.0,192270.0,192270.0,0.0,AutoT0
53,5fd1ef1c0603f464dc9dff09,20201209,307_m_hait_2000,601238,广汽集团,1000,1000.0,0.0,12999.999999999998,12999.999999999998,0.0,AutoT0
54,5fd1ef1c0603f464dc9dff0a,20201209,307_m_hait_2000,002074,国轩高科,1000,1000.0,0.0,29490.0,29490.0,0.0,AutoT0
