"证券代码","证券名称","起始日","归还日","到期日","剩余期限","合约数量","日初合约数量","已用数量","合约金额","使用费率","占用利率","预计占用利息","已还利息","展期后到期日","展期次数","违约金率","合约编号","资产账号","账户名称"
"600059	","古越龙山","2021-01-29","2021-02-03","2021-02-04","3","16300","16300","0","201957.00","0.00%","9.00%","151.47","0.00","--","0","18.00%","202101290000000782	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002796	","世嘉科技","2021-01-29","2021-02-24","2021-02-25","24","16600","16600","0","197042.00","0.00%","9.00%","147.78","0.00","--","0","18.00%","202101290000000778	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603377	","东方时尚","2021-01-29","2021-02-10","2021-02-11","10","5000","5000","0","59250.00","0.00%","9.00%","44.44","0.00","--","0","18.00%","202101290000000776	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600185	","格力地产","2021-01-28","2021-02-02","2021-02-03","2","10000","10000","10000","59600.00","0.00%","9.00%","59.60","0.00","--","0","18.00%","202101280000001346	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601766	","中国中车","2021-01-28","2021-02-10","2021-02-11","10","9100","9100","9100","59059.00","0.00%","8.50%","55.78","0.00","--","0","18.00%","202101280000001342	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603799	","华友钴业","2021-01-28","2021-02-23","2021-02-24","23","1900","1900","1900","191615.00","0.00%","9.00%","191.61","0.00","--","0","18.00%","202101280000001309	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601919	","中远海控","2021-01-28","2021-02-10","2021-02-17","16","13900","13900","13900","181117.00","0.00%","5.00%","100.62","0.00","--","0","18.00%","202101280000000088	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300059	","东方财富","2021-01-28","2021-02-10","2021-02-18","17","5400","5400","5400","195480.00","0.00%","7.00%","152.04","0.00","--","0","18.00%","202101280000000087	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300014	","亿纬锂能","2021-01-28","2021-02-19","2021-02-22","21","1800","1800","1800","196200.00","0.00%","7.00%","152.60","0.00","--","0","18.00%","202101280000000086	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000100	","TCL科技","2021-01-28","2021-02-10","2021-02-12","11","15000","15000","15000","133200.00","0.00%","5.00%","74.00","0.00","--","0","18.00%","202101280000000085	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000725	","京东方Ａ","2021-01-28","2021-02-10","2021-02-15","14","28900","28900","28900","184382.00","0.00%","5.00%","102.43","0.00","--","0","18.00%","202101280000000084	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000100	","TCL科技","2021-01-28","2021-02-08","2021-02-09","8","6400","6400","6400","56832.00","0.00%","5.00%","31.57","0.00","--","0","18.00%","202101280000000083	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603026	","石大胜华","2021-01-28","2021-02-09","2021-02-10","9","1300","1300","1300","86320.00","0.00%","7.00%","67.14","0.00","--","0","18.00%","202101280000000043	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002092	","中泰化学","2021-01-28","2021-02-09","2021-02-10","9","11700","11700","11700","96993.00","0.00%","7.00%","75.44","0.00","--","0","18.00%","202101280000000042	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000301	","东方盛虹","2021-01-28","2021-02-09","2021-02-10","9","7000","7000","7000","95970.00","0.00%","7.00%","74.64","0.00","--","0","18.00%","202101280000000041	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000301	","东方盛虹","2021-01-27","2021-02-09","2021-02-10","9","6600","6600","6600","97482.00","0.00%","8.50%","115.08","0.00","--","0","18.00%","202101270000001312	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002092	","中泰化学","2021-01-27","2021-02-09","2021-02-10","9","11600","11600","11600","99644.00","0.00%","8.50%","117.64","0.00","--","0","18.00%","202101270000001308	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603026	","石大胜华","2021-01-27","2021-02-09","2021-02-10","9","1600","1600","1600","110992.00","0.00%","8.50%","131.03","0.00","--","0","18.00%","202101270000001304	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002646	","青青稞酒","2021-01-27","2021-02-05","2021-02-08","7","1000","1000","1000","15550.00","0.00%","9.00%","19.44","0.00","--","0","18.00%","202101270000001299	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300014	","亿纬锂能","2021-01-27","2021-02-19","2021-02-22","21","1900","1900","1900","216277.00","0.00%","7.00%","210.27","0.00","--","0","18.00%","202101270000000139	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600543	","莫高股份","2021-01-27","2021-02-05","2021-02-08","7","1200","1200","1200","9264.00","0.00%","7.00%","9.01","0.00","--","0","18.00%","202101270000000026	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002288	","超华科技","2021-01-26","2021-02-08","2021-02-09","8","10000","10000","10000","81800.00","0.00%","8.50%","115.88","0.00","--","0","18.00%","202101260000000786	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002340	","格林美","2021-01-26","2021-02-08","2021-02-09","8","400","400","400","3392.00","0.00%","9.00%","5.09","0.00","--","0","18.00%","202101260000000782	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600733	","北汽蓝谷","2021-01-26","2021-02-08","2021-02-09","8","9500","9500","9500","94620.00","0.00%","8.50%","134.05","0.00","--","0","18.00%","202101260000000762	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603919	","金徽酒","2021-01-26","2021-01-29","2021-02-01","0","5100","5100","0","185640.00","0.00%","9.00%","278.46","0.00","--","0","18.00%","202101260000000754	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600559	","老白干酒","2021-01-26","2021-01-29","2021-02-01","0","7000","7000","0","186970.00","0.00%","9.00%","280.45","0.00","--","0","18.00%","202101260000000751	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600543	","莫高股份","2021-01-26","2021-01-29","2021-02-01","0","25900","25900","0","191401.00","0.00%","9.00%","287.10","0.00","--","0","18.00%","202101260000000749	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002646	","青青稞酒","2021-01-26","2021-01-29","2021-02-01","0","11600","11600","0","184788.00","0.00%","9.00%","277.18","0.00","--","0","18.00%","202101260000000748	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002340	","格林美","2021-01-26","2021-02-08","2021-02-09","8","9800","9800","9800","83104.00","0.00%","9.00%","124.66","0.00","--","0","18.00%","202101260000000741	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002460	","赣锋锂业","2021-01-26","2021-02-08","2021-02-09","8","1400","1400","1400","192360.00","0.00%","9.00%","288.54","0.00","--","0","18.00%","202101260000000652	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600773	","西藏城投","2021-01-25","2021-02-05","2021-02-08","7","22900","22900","22900","210451.00","0.00%","9.00%","368.29","0.00","--","0","18.00%","202101250000001826	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600616	","金枫酒业","2021-01-25","2021-02-05","2021-02-08","7","1200","1200","1200","10188.00","0.00%","9.00%","17.83","0.00","--","0","18.00%","202101250000001818	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300618	","寒锐钴业","2021-01-25","2021-02-05","2021-02-08","7","1400","1400","1400","151508.00","0.00%","9.00%","265.14","0.00","--","0","18.00%","202101250000001812	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300123	","亚光科技","2021-01-25","2021-02-01","2021-02-02","1","16600","16600","16600","194552.00","0.00%","9.00%","340.47","0.00","--","0","18.00%","202101250000001810	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300618	","寒锐钴业","2021-01-22","2021-02-10","2021-02-18","17","500","500","500","53655.00","0.00%","9.00%","134.14","0.00","--","0","18.00%","202101220000000957	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002156	","通富微电","2021-01-21","2021-02-03","2021-02-04","3","1600","1600","1600","47440.00","0.00%","8.50%","123.21","0.00","--","0","18.00%","202101210000000960	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000799	","酒鬼酒","2021-01-21","2021-02-03","2021-02-04","3","1200","1200","1200","221280.00","0.00%","8.50%","574.71","0.00","--","0","18.00%","202101210000000951	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603005	","晶方科技","2021-01-21","2021-02-02","2021-02-03","2","2300","2300","2300","200491.00","0.00%","9.00%","551.35","0.00","--","0","18.00%","202101210000000942	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601058	","赛轮轮胎","2021-01-21","2021-02-02","2021-02-03","2","23300","23300","23300","204574.00","0.00%","9.00%","562.58","0.00","--","0","18.00%","202101210000000939	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600967	","内蒙一机","2021-01-21","2021-02-02","2021-02-03","2","10000","10000","10000","121800.00","0.00%","7.00%","260.52","0.00","--","0","18.00%","202101210000000012	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600893	","航发动力","2021-01-21","2021-02-02","2021-02-03","2","1400","1400","1400","102312.00","0.00%","5.00%","156.31","0.00","--","0","18.00%","202101210000000011	","960000039239	","鸣石宽墨十一号私募证券投资基金"
