DataDate,SecurityID,WindCode,SecName,TgtQty,MarginOrNotMark,AvlQtyInPrivatePool,AvlQtyInPublicPool,QuotaOnLastTrdDate,QtyToTerminate,QtyToLock,QtyToBorrowFromPublicSecPool,QtyToBorrowFromOutsideSource
20201102,000004,000004.SZ,国农科技,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000006,000006.SZ,深振业A,1000,1,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
20201102,000010,000010.SZ,美丽生态,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000011,000011.SZ,深物业A,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000014,000014.SZ,沙河股份,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000017,000017.SZ,*ST中华A,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000020,000020.SZ,深华发A,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000021,000021.SZ,深科技,1000,1,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
20201102,000023,000023.SZ,深天地A,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000034,000034.SZ,神州数码,1000,1,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
20201102,000037,000037.SZ,深南电A,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000040,000040.SZ,东旭蓝天,1000,1,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
20201102,000045,000045.SZ,深纺织A,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000056,000056.SZ,皇庭国际,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000068,000068.SZ,华控赛格,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000088,000088.SZ,盐田港,1000,1,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
20201102,000150,000150.SZ,宜华健康,1000,1,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
20201102,000153,000153.SZ,丰原药业,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000407,000407.SZ,胜利股份,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000408,000408.SZ,*ST藏格,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000410,000410.SZ,*ST沈机,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000411,000411.SZ,英特集团,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000416,000416.SZ,民生控股,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000428,000428.SZ,华天酒店,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000430,000430.SZ,张家界,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000502,000502.SZ,绿景控股,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000504,000504.SZ,ST生物,1000,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
20201102,000505,000505.SZ,京粮控股,1000,1,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
20201102,000506,000506.SZ,中润资源,1000,1,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
