DataDate,AcctIDByMXZ,SecurityID,WindCode,SecName,TgtQty,MarginOrNotMark,AvlQtyInPrivatePool,AvlQtyInPublicPool,QuotaOnLastTrdDate,QtyToTerminate,QtyToLock,QtyToBorrowFromPublicSecPool,QtyToBorrowFromOutsideSource
20201218,307_m_hait_2000,300713,300713.SZ,英可瑞,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300715,300715.SZ,凯伦股份,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300716,300716.SZ,国立科技,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300717,300717.SZ,华信新材,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300718,300718.SZ,长盛轴承,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300719,300719.SZ,安达维尔,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300720,300720.SZ,海川智能,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300721,300721.SZ,怡达股份,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300722,300722.SZ,新余国科,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300724,300724.SZ,捷佳伟创,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300726,300726.SZ,宏达电子,3400,1,0.0,0.0,0.0,0.0,0.0,0.0,3400.0
20201218,307_m_hait_2000,300727,300727.SZ,润禾材料,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300729,300729.SZ,乐歌股份,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300730,300730.SZ,科创信息,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300731,300731.SZ,科创新源,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300733,300733.SZ,西菱动力,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201218,307_m_hait_2000,300736,300736.SZ,百邦科技,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
