DataDate,SecurityID,TgtQty,MarginOrNotMark,AvlQtyInPrivatePool,AvlQtyInPublicPool,QuotaOnLastTrdDate,QtyToLock,QtyToBorrowFromPublicSecPool
20201027,000004,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000006,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000010,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000011,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000014,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000017,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000020,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000021,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000023,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000026,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000034,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000036,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000037,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000040,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000045,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000056,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000068,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000070,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000088,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000100,1000,1,0.0,94300.0,0.0,0.0,1000.0
20201027,000150,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000153,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000407,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000408,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000410,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000411,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000416,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000428,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000430,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000502,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000504,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000505,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000506,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000509,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000516,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000518,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000523,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000524,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000534,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000548,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000564,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000571,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000572,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000573,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000576,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000585,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000586,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000587,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000592,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000595,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000609,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000610,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000611,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000613,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000615,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000616,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000619,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000620,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000625,1000,1,0.0,600.0,0.0,0.0,600.0
20201027,000638,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000662,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000663,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000668,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000669,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000673,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000676,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000683,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000687,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000688,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000691,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000692,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000695,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000697,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000698,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000701,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000710,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000711,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000713,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000720,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000721,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000725,1000,1,0.0,284900.0,0.0,0.0,1000.0
20201027,000727,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000728,1000,1,0.0,36.0,0.0,0.0,36.0
20201027,000732,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000733,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000735,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000737,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000750,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000752,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000757,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000762,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000766,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000780,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000782,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000793,1000,1,0.0,4300.0,0.0,0.0,1000.0
20201027,000796,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000798,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000802,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000803,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000806,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000807,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000820,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000822,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000835,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000839,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000861,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000862,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000863,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000868,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000880,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000886,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000889,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000890,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000892,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000893,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000903,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000906,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000908,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000913,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000917,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000918,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000920,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000927,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000929,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000936,1000,1,0.0,0.0,0.0,0.0,0.0
20201027,000948,1000,0,0.0,0.0,0.0,0.0,0.0
20201027,000959,1000,1,0.0,0.0,0.0,0.0,0.0
