DataDate,SecurityID,TgtQty,MarginOrNotMark,AvlQtyInPrivatePool,QuotaOnLastTrdDate,DeltaQty
20201023,4,1000,0,0,0,0
20201023,6,1000,1,0,0,0
20201023,10,1000,0,0,0,0
20201023,11,1000,0,0,0,0
20201023,14,1000,0,0,0,0
20201023,20,1000,0,0,0,0
20201023,21,1000,1,0,0,0
20201023,23,1000,0,0,0,0
20201023,26,1000,0,0,0,0
20201023,34,1000,1,0,0,0
20201023,37,1000,0,0,0,0
20201023,38,1000,0,0,0,0
20201023,45,1000,0,0,0,0
20201023,58,1000,0,0,0,0
20201023,68,1000,0,0,0,0
20201023,88,1000,1,0,0,0
20201023,150,1000,1,0,0,0
20201023,407,1000,0,0,0,0
20201023,411,1000,0,0,0,0
20201023,416,1000,0,0,0,0
20201023,428,1000,0,0,0,0
20201023,430,1000,0,0,0,0
20201023,502,1000,0,0,0,0
20201023,504,1000,0,0,0,0
20201023,505,1000,1,0,0,0
20201023,506,1000,1,0,0,0
20201023,509,1000,0,0,0,0
20201023,516,1000,1,0,0,0
20201023,518,1000,0,0,0,0
20201023,523,1000,0,0,0,0
20201023,524,1000,0,0,0,0
20201023,536,1000,0,0,0,0
20201023,548,1000,0,0,0,0
20201023,564,1000,0,0,0,0
20201023,571,1000,0,0,0,0
20201023,572,1000,0,0,0,0
20201023,573,1000,0,0,0,0
20201023,576,1000,0,0,0,0
20201023,585,1000,0,0,0,0
20201023,586,1000,0,0,0,0
20201023,587,1000,0,0,0,0
20201023,592,1000,1,0,0,0
20201023,595,1000,0,0,0,0
20201023,610,1000,0,0,0,0
20201023,611,1000,0,0,0,0
20201023,613,1000,0,0,0,0
20201023,616,1000,1,0,0,0
20201023,625,1000,1,0,0,0
20201023,638,1000,0,0,0,0
20201023,662,1000,0,0,0,0
20201023,668,1000,0,0,0,0
20201023,669,1000,0,0,0,0
20201023,673,1000,0,0,0,0
20201023,676,1000,0,0,0,0
20201023,687,1000,0,0,0,0
20201023,688,1000,0,0,0,0
20201023,691,1000,0,0,0,0
20201023,692,1000,0,0,0,0
20201023,695,1000,0,0,0,0
20201023,697,1000,0,0,0,0
20201023,698,1000,0,0,0,0
20201023,710,1000,0,0,0,0
20201023,711,1000,0,0,0,0
20201023,720,1000,0,0,0,0
20201023,721,1000,0,0,0,0
20201023,725,1000,1,0,0,0
20201023,727,1000,0,0,0,0
20201023,732,1000,1,0,0,0
20201023,733,1000,1,0,0,0
20201023,735,1000,1,0,0,0
20201023,737,1000,0,0,0,0
20201023,750,1000,1,0,0,0
