DataDate,SecurityID,WindCode,SecName,TgtQty,MarginOrNotMark,AvlQtyInPrivatePool,AvlQtyInPublicPool,QuotaOnLastTrdDate,QtyToLock,QtyToBorrowFromPublicSecPool,QtyToBorrowFromOutsideSource
20201028,000004,000004.SZ,国农科技,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000006,000006.SZ,深振业A,1000,1,0.0,0.0,0.0,0.0,0.0,1000.0
20201028,000010,000010.SZ,美丽生态,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000011,000011.SZ,深物业A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000014,000014.SZ,沙河股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000017,000017.SZ,*ST中华A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000020,000020.SZ,深华发A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000021,000021.SZ,深科技,1000,1,0.0,0.0,0.0,0.0,0.0,1000.0
20201028,000023,000023.SZ,深天地A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000026,000026.SZ,飞亚达,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000034,000034.SZ,神州数码,1000,1,0.0,0.0,0.0,0.0,0.0,1000.0
20201028,000036,000036.SZ,华联控股,1000,1,0.0,0.0,0.0,0.0,0.0,1000.0
20201028,000037,000037.SZ,深南电A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000040,000040.SZ,东旭蓝天,1000,1,0.0,0.0,0.0,0.0,0.0,1000.0
20201028,000045,000045.SZ,深纺织A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000056,000056.SZ,皇庭国际,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000068,000068.SZ,华控赛格,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000088,000088.SZ,盐田港,1000,1,0.0,0.0,0.0,0.0,0.0,1000.0
20201028,000100,000100.SZ,TCL科技,1000,1,0.0,73400.0,0.0,0.0,1000.0,0.0
20201028,000150,000150.SZ,宜华健康,1000,1,0.0,0.0,0.0,0.0,0.0,1000.0
20201028,000153,000153.SZ,丰原药业,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000155,000155.SZ,川能动力,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000407,000407.SZ,胜利股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000408,000408.SZ,*ST藏格,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000410,000410.SZ,*ST沈机,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000411,000411.SZ,英特集团,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000416,000416.SZ,民生控股,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000428,000428.SZ,华天酒店,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000430,000430.SZ,张家界,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000502,000502.SZ,绿景控股,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000504,000504.SZ,ST生物,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000505,000505.SZ,京粮控股,1000,1,0.0,0.0,0.0,0.0,0.0,1000.0
20201028,000506,000506.SZ,中润资源,1000,1,0.0,0.0,0.0,0.0,0.0,1000.0
20201028,000509,000509.SZ,*ST华塑,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000516,000516.SZ,国际医学,1000,1,0.0,0.0,0.0,0.0,0.0,1000.0
20201028,000518,000518.SZ,四环生物,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000523,000523.SZ,广州浪奇,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000524,000524.SZ,岭南控股,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000534,000534.SZ,万泽股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000548,000548.SZ,湖南投资,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000564,000564.SZ,供销大集,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000571,000571.SZ,*ST大洲,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000572,000572.SZ,ST海马,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000573,000573.SZ,粤宏远A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000585,000585.SZ,*ST东电,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000586,000586.SZ,汇源通信,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000587,000587.SZ,*ST金洲,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000592,000592.SZ,平潭发展,1000,1,0.0,0.0,0.0,0.0,0.0,1000.0
20201028,000595,000595.SZ,*ST宝实,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000609,000609.SZ,中迪投资,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000610,000610.SZ,西安旅游,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000611,000611.SZ,ST天首,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000613,000613.SZ,大东海A,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
20201028,000615,000615.SZ,京汉股份,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
