DataDate,AcctIDByMXZ,SecurityID,WindCode,SecName,TgtQty,MarginOrNotMark,AvlQtyInPrivatePool,AvlQtyInPublicPool,QuotaOnLastTrdDate,QtyToTerminate,QtyToLock,QtyToBorrowFromPublicSecPool,QtyToBorrowFromOutsideSource,_id
20201125,307_m_hait_2000,000012,000012.SZ,南玻A,20000,1,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,5fbe35af8ac917c027707ca2
20201125,307_m_hait_2000,000016,000016.SZ,深康佳A,22000,1,0.0,0.0,0.0,0.0,0.0,0.0,22000.0,5fbe35af8ac917c027707ca3
20201125,307_m_hait_2000,000032,000032.SZ,深桑达A,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707ca4
20201125,307_m_hait_2000,000034,000034.SZ,神州数码,6200,1,0.0,0.0,0.0,0.0,0.0,0.0,6200.0,5fbe35af8ac917c027707ca5
20201125,307_m_hait_2000,000039,000039.SZ,中集集团,8800,1,0.0,0.0,6400.0,0.0,0.0,0.0,2400.0,5fbe35af8ac917c027707ca6
20201125,307_m_hait_2000,000100,000100.SZ,TCL科技,21000,1,0.0,208900.0,1500.0,0.0,0.0,19500.0,0.0,5fbe35af8ac917c027707ca7
20201125,307_m_hait_2000,000155,000155.SZ,川能动力,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707ca8
20201125,307_m_hait_2000,000301,000301.SZ,东方盛虹,13600,1,0.0,0.0,0.0,0.0,0.0,0.0,13600.0,5fbe35af8ac917c027707ca9
20201125,307_m_hait_2000,000410,000410.SZ,*ST沈机,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707caa
20201125,307_m_hait_2000,000411,000411.SZ,英特集团,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cab
20201125,307_m_hait_2000,000428,000428.SZ,华天酒店,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cac
20201125,307_m_hait_2000,000502,000502.SZ,绿景控股,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cad
20201125,307_m_hait_2000,000505,000505.SZ,京粮控股,16600,1,0.0,0.0,0.0,0.0,0.0,0.0,16600.0,5fbe35af8ac917c027707cae
20201125,307_m_hait_2000,000506,000506.SZ,中润资源,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707caf
20201125,307_m_hait_2000,000516,000516.SZ,国际医学,16400,1,0.0,0.0,0.0,0.0,0.0,0.0,16400.0,5fbe35af8ac917c027707cb0
20201125,307_m_hait_2000,000523,000523.SZ,广州浪奇,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cb1
20201125,307_m_hait_2000,000526,000526.SZ,紫光学大,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cb2
20201125,307_m_hait_2000,000534,000534.SZ,万泽股份,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cb3
20201125,307_m_hait_2000,000545,000545.SZ,金浦钛业,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cb4
20201125,307_m_hait_2000,000550,000550.SZ,江铃汽车,7000,1,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,5fbe35af8ac917c027707cb5
20201125,307_m_hait_2000,000551,000551.SZ,创元科技,16600,1,0.0,0.0,0.0,0.0,0.0,0.0,16600.0,5fbe35af8ac917c027707cb6
20201125,307_m_hait_2000,000564,000564.SZ,供销大集,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cb7
20201125,307_m_hait_2000,000566,000566.SZ,海南海药,16600,1,0.0,0.0,0.0,0.0,0.0,0.0,16600.0,5fbe35af8ac917c027707cb8
20201125,307_m_hait_2000,000570,000570.SZ,苏常柴A,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cb9
20201125,307_m_hait_2000,000571,000571.SZ,*ST大洲,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cba
20201125,307_m_hait_2000,000573,000573.SZ,粤宏远A,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cbb
20201125,307_m_hait_2000,000608,000608.SZ,阳光股份,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cbc
20201125,307_m_hait_2000,000612,000612.SZ,焦作万方,17600,1,0.0,0.0,0.0,0.0,0.0,0.0,17600.0,5fbe35af8ac917c027707cbd
20201125,307_m_hait_2000,000613,000613.SZ,大东海A,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cbe
20201125,307_m_hait_2000,000615,000615.SZ,奥园美谷,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cbf
20201125,307_m_hait_2000,000622,000622.SZ,恒立实业,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cc0
20201125,307_m_hait_2000,000625,000625.SZ,长安汽车,6800,1,0.0,20200.0,1000.0,0.0,0.0,5800.0,0.0,5fbe35af8ac917c027707cc1
20201125,307_m_hait_2000,000633,000633.SZ,合金投资,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cc2
20201125,307_m_hait_2000,000638,000638.SZ,万方发展,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cc3
20201125,307_m_hait_2000,000659,000659.SZ,珠海中富,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cc4
20201125,307_m_hait_2000,000662,000662.SZ,*ST天夏,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cc5
20201125,307_m_hait_2000,000673,000673.SZ,*ST当代,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cc6
20201125,307_m_hait_2000,000687,000687.SZ,*ST华讯,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cc7
20201125,307_m_hait_2000,000695,000695.SZ,滨海能源,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cc8
20201125,307_m_hait_2000,000698,000698.SZ,沈阳化工,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5fbe35af8ac917c027707cc9
