,_id,DataDate,AcctIDByMXZ,SecurityID,CompositeSource,PNL_Part1,PNL_Part2,PNL_Part3,PNL_PartSum,FeeFromTradingActivity,FeeFromSecLoan,PNLBySecID
42,5fd1eb24553c26326472089f,20201209,307_m_hait_2000,688108,AutoT0,0.0,0.0,0.0,0.0,0.0,3.46,-3.46
43,5fd1eb24553c2632647208a0,20201209,307_m_hait_2000,002353,AutoT0,0.0,0.0,0.0,0.0,0.0,57.480000000000004,-57.480000000000004
44,5fd1eb24553c2632647208a1,20201209,307_m_hait_2000,601238,AutoT0,0.0,0.0,0.0,0.0,0.0,3.02,-3.02
45,5fd1eb24553c2632647208a2,20201209,307_m_hait_2000,002739,AutoT0,0.0,0.0,0.0,0.0,0.0,18.080000000000002,-18.080000000000002
46,5fd1eb24553c2632647208a3,20201209,307_m_hait_2000,000039,AutoT0,0.0,0.0,-0.0,0.0,0.0,17.11,-17.11
47,5fd1eb24553c2632647208a4,20201209,307_m_hait_2000,002460,AutoT0,581.9999999999993,-1019.9999999999989,0.0,-437.99999999999955,19.939999999999998,3.71,-461.6499999999995
48,5fd1eb24553c2632647208a5,20201209,307_m_hait_2000,300124,AutoT0,0.0,0.0,0.0,0.0,0.0,19.49,-19.49
49,5fd1eb24553c2632647208a6,20201209,307_m_hait_2000,688389,AutoT0,0.0,0.0,0.0,0.0,0.0,43.41,-43.41
50,5fd1eb24553c2632647208a7,20201209,307_m_hait_2000,688068,AutoT0,0.0,0.0,0.0,0.0,0.0,39.24,-39.24
51,5fd1eb24553c2632647208a8,20201209,307_m_hait_2000,300666,AutoT0,0.0,0.0,0.0,0.0,0.0,33.78,-33.78
52,5fd1eb24553c2632647208a9,20201209,307_m_hait_2000,600804,AutoT0,0.0,0.0,0.0,0.0,0.0,36.16,-36.16
53,5fd1eb24553c2632647208aa,20201209,307_m_hait_2000,600196,AutoT0,0.0,0.0,-0.0,0.0,0.0,15.82,-15.82
54,5fd1eb24553c2632647208ab,20201209,307_m_hait_2000,000887,AutoT0,0.0,0.0,0.0,0.0,0.0,34.58,-34.58
55,5fd1eb24553c2632647208ac,20201209,307_m_hait_2000,688015,AutoT0,0.0,0.0,0.0,0.0,0.0,44.42,-44.42
56,5fd1eb24553c2632647208ad,20201209,307_m_hait_2000,002202,AutoT0,0.0,0.0,0.0,0.0,0.0,2.73,-2.73
57,5fd1eb24553c2632647208ae,20201209,307_m_hait_2000,002214,AutoT0,0.0,0.0,0.0,0.0,0.0,34.949999999999996,-34.949999999999996
58,5fd1eb24553c2632647208af,20201209,307_m_hait_2000,300037,AutoT0,1389.999999999999,-642.9999999999964,0.0,747.0000000000027,131.48999999999998,36.09,579.4200000000027
59,5fd1eb24553c2632647208b0,20201209,307_m_hait_2000,600486,AutoT0,0.0,0.0,0.0,0.0,0.0,34.88,-34.88
