"证券代码","证券名称","起始日","归还日","到期日","剩余期限","合约数量","日初合约数量","已用数量","合约金额","使用费率","占用利率","预计占用利息","已还利息","展期后到期日","展期次数","违约金率","合约编号","资产账号","账户名称"
"601919	","中远海控","2021-02-02","2021-03-01","2021-03-02","27","1700","1700","1700","20536.00","0.00%","5.00%","2.85","0.00","--","0","18.00%","202102020000000013	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603299	","苏盐井神","2021-02-01","2021-02-26","2021-03-01","26","12800","12800","12800","104448.00","0.00%","8.50%","49.32","0.00","--","0","18.00%","202102010000002310	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002407	","多氟多","2021-02-01","2021-02-26","2021-03-01","26","4200","4200","4200","95760.00","0.00%","8.50%","45.22","0.00","--","0","18.00%","202102010000002298	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300598	","诚迈科技","2021-02-01","2021-02-26","2021-03-01","26","1200","1200","1200","94560.00","0.00%","8.50%","44.65","0.00","--","0","18.00%","202102010000002290	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300001	","特锐德","2021-02-01","2021-02-10","2021-02-15","12","1600","1600","1600","56896.00","0.00%","8.50%","26.87","0.00","--","0","18.00%","202102010000002286	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000725	","京东方Ａ","2021-02-01","2021-02-10","2021-02-15","12","3500","3500","3500","21805.00","0.00%","9.00%","10.90","0.00","--","0","18.00%","202102010000002245	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600655	","豫园股份","2021-02-01","2021-02-10","2021-02-15","12","19200","19200","19200","204288.00","0.00%","9.00%","102.14","0.00","--","0","18.00%","202102010000002238	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603993	","洛阳钼业","2021-02-01","2021-02-10","2021-02-18","15","1000","1000","1000","5960.00","0.00%","9.00%","2.98","0.00","--","0","18.00%","202102010000002230	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601919	","中远海控","2021-02-01","2021-03-01","2021-03-02","27","1000","1000","1000","12080.00","0.00%","9.00%","6.04","0.00","--","0","18.00%","202102010000002228	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600543	","莫高股份","2021-02-01","2021-02-05","2021-02-08","5","24500","24500","24500","181790.00","0.00%","7.00%","70.70","0.00","--","0","18.00%","202102010000000058	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000100	","TCL科技","2021-02-01","2021-02-10","2021-02-15","12","1900","1900","1900","17157.00","0.00%","5.00%","4.77","0.00","--","0","18.00%","202102010000000057	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600059	","古越龙山","2021-01-29","2021-02-03","2021-02-04","1","16300","16300","16300","201957.00","0.00%","9.00%","252.45","0.00","--","0","18.00%","202101290000000782	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002796	","世嘉科技","2021-01-29","2021-02-24","2021-02-25","22","16600","16600","16600","197042.00","0.00%","9.00%","246.30","0.00","--","0","18.00%","202101290000000778	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603377	","东方时尚","2021-01-29","2021-02-10","2021-02-11","8","5000","5000","5000","59250.00","0.00%","9.00%","74.06","0.00","--","0","18.00%","202101290000000776	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600185	","格力地产","2021-01-28","2021-02-02","2021-02-03","0","10000","10000","0","59600.00","0.00%","9.00%","89.40","0.00","--","0","18.00%","202101280000001346	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601766	","中国中车","2021-01-28","2021-02-10","2021-02-11","8","9100","9100","9100","59059.00","0.00%","8.50%","83.67","0.00","--","0","18.00%","202101280000001342	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603799	","华友钴业","2021-01-28","2021-02-23","2021-02-24","21","1900","1900","1900","191615.00","0.00%","9.00%","287.42","0.00","--","0","18.00%","202101280000001309	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601919	","中远海控","2021-01-28","2021-02-10","2021-02-17","14","13900","13900","0","181117.00","0.00%","5.00%","150.93","0.00","--","0","18.00%","202101280000000088	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300059	","东方财富","2021-01-28","2021-02-10","2021-02-18","15","5400","5400","5400","195480.00","0.00%","7.00%","228.06","0.00","--","0","18.00%","202101280000000087	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300014	","亿纬锂能","2021-01-28","2021-02-19","2021-02-22","19","1800","1800","1800","196200.00","0.00%","7.00%","228.90","0.00","--","0","18.00%","202101280000000086	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000100	","TCL科技","2021-01-28","2021-02-10","2021-02-12","9","15000","15000","15000","133200.00","0.00%","5.00%","111.00","0.00","--","0","18.00%","202101280000000085	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000725	","京东方Ａ","2021-01-28","2021-02-10","2021-02-15","12","28900","28900","28900","184382.00","0.00%","5.00%","153.65","0.00","--","0","18.00%","202101280000000084	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000100	","TCL科技","2021-01-28","2021-02-08","2021-02-09","6","6400","6400","6400","56832.00","0.00%","5.00%","47.36","0.00","--","0","18.00%","202101280000000083	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603026	","石大胜华","2021-01-28","2021-02-09","2021-02-10","7","1300","1300","1300","86320.00","0.00%","7.00%","100.71","0.00","--","0","18.00%","202101280000000043	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002092	","中泰化学","2021-01-28","2021-02-09","2021-02-10","7","11700","11700","11700","96993.00","0.00%","7.00%","113.16","0.00","--","0","18.00%","202101280000000042	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000301	","东方盛虹","2021-01-28","2021-02-09","2021-02-10","7","7000","7000","7000","95970.00","0.00%","7.00%","111.97","0.00","--","0","18.00%","202101280000000041	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000301	","东方盛虹","2021-01-27","2021-02-09","2021-02-10","7","6600","6600","6600","97482.00","0.00%","8.50%","161.12","0.00","--","0","18.00%","202101270000001312	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002092	","中泰化学","2021-01-27","2021-02-09","2021-02-10","7","11600","11600","11600","99644.00","0.00%","8.50%","164.69","0.00","--","0","18.00%","202101270000001308	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603026	","石大胜华","2021-01-27","2021-02-09","2021-02-10","7","1600","1600","1600","110992.00","0.00%","8.50%","183.45","0.00","--","0","18.00%","202101270000001304	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002646	","青青稞酒","2021-01-27","2021-02-05","2021-02-08","5","1000","1000","1000","15550.00","0.00%","9.00%","27.21","0.00","--","0","18.00%","202101270000001299	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300014	","亿纬锂能","2021-01-27","2021-02-19","2021-02-22","19","1900","1900","1900","216277.00","0.00%","7.00%","294.38","0.00","--","0","18.00%","202101270000000139	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600543	","莫高股份","2021-01-27","2021-02-05","2021-02-08","5","1200","1200","1200","9264.00","0.00%","7.00%","12.61","0.00","--","0","18.00%","202101270000000026	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002288	","超华科技","2021-01-26","2021-02-08","2021-02-09","6","10000","10000","10000","81800.00","0.00%","8.50%","154.51","0.00","--","0","18.00%","202101260000000786	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002340	","格林美","2021-01-26","2021-02-08","2021-02-09","6","400","400","400","3392.00","0.00%","9.00%","6.78","0.00","--","0","18.00%","202101260000000782	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600733	","北汽蓝谷","2021-01-26","2021-02-08","2021-02-09","6","9500","9500","9500","94620.00","0.00%","8.50%","178.73","0.00","--","0","18.00%","202101260000000762	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002340	","格林美","2021-01-26","2021-02-08","2021-02-09","6","9800","9800","9800","83104.00","0.00%","9.00%","166.21","0.00","--","0","18.00%","202101260000000741	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002460	","赣锋锂业","2021-01-26","2021-02-08","2021-02-09","6","1400","1400","1400","192360.00","0.00%","9.00%","384.72","0.00","--","0","18.00%","202101260000000652	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600773	","西藏城投","2021-01-25","2021-02-05","2021-02-08","5","22900","22900","22900","210451.00","0.00%","9.00%","473.51","0.00","--","0","18.00%","202101250000001826	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600616	","金枫酒业","2021-01-25","2021-02-05","2021-02-08","5","1200","1200","1200","10188.00","0.00%","9.00%","22.92","0.00","--","0","18.00%","202101250000001818	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300618	","寒锐钴业","2021-01-25","2021-02-05","2021-02-08","5","1400","1400","1400","151508.00","0.00%","9.00%","340.89","0.00","--","0","18.00%","202101250000001812	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300618	","寒锐钴业","2021-01-22","2021-02-10","2021-02-18","15","500","500","500","53655.00","0.00%","9.00%","160.97","0.00","--","0","18.00%","202101220000000957	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002156	","通富微电","2021-01-21","2021-02-03","2021-02-04","1","1600","1600","1600","47440.00","0.00%","8.50%","145.61","0.00","--","0","18.00%","202101210000000960	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000799	","酒鬼酒","2021-01-21","2021-02-03","2021-02-04","1","1200","1200","1200","221280.00","0.00%","8.50%","679.21","0.00","--","0","18.00%","202101210000000951	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603005	","晶方科技","2021-01-21","2021-02-02","2021-02-03","0","2300","2300","0","200491.00","0.00%","9.00%","651.60","0.00","--","0","18.00%","202101210000000942	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601058	","赛轮轮胎","2021-01-21","2021-02-02","2021-02-03","0","23300","23300","0","204574.00","0.00%","9.00%","664.87","0.00","--","0","18.00%","202101210000000939	","960000039239	","鸣石宽墨十一号私募证券投资基金"
