"证券代码","证券名称","起始日","归还日","到期日","剩余期限","合约数量","日初合约数量","已用数量","合约金额","使用费率","占用利率","预计占用利息","已还利息","展期后到期日","展期次数","违约金率","合约编号","资产账号","账户名称"
"000301	","东方盛虹","2021-01-27","2021-02-09","2021-02-10","13","6600","6600","0","97482.00","0.00%","8.50%","23.02","0.00","--","0","18.00%","202101270000001312	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002092	","中泰化学","2021-01-27","2021-02-09","2021-02-10","13","11600","11600","0","99644.00","0.00%","8.50%","23.53","0.00","--","0","18.00%","202101270000001308	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603026	","石大胜华","2021-01-27","2021-02-09","2021-02-10","13","1600","1600","0","110992.00","0.00%","8.50%","26.21","0.00","--","0","18.00%","202101270000001304	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002646	","青青稞酒","2021-01-27","2021-02-05","2021-02-08","11","1000","1000","1000","15550.00","0.00%","9.00%","3.89","0.00","--","0","18.00%","202101270000001299	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300014	","亿纬锂能","2021-01-27","2021-02-19","2021-02-22","25","1900","1900","0","216277.00","0.00%","7.00%","42.05","0.00","--","0","18.00%","202101270000000139	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600543	","莫高股份","2021-01-27","2021-02-05","2021-02-08","11","1200","1200","1200","9264.00","0.00%","7.00%","1.80","0.00","--","0","18.00%","202101270000000026	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002288	","超华科技","2021-01-26","2021-02-08","2021-02-09","12","10000","10000","10000","81800.00","0.00%","8.50%","38.63","0.00","--","0","18.00%","202101260000000786	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002340	","格林美","2021-01-26","2021-02-08","2021-02-09","12","400","400","400","3392.00","0.00%","9.00%","1.70","0.00","--","0","18.00%","202101260000000782	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600733	","北汽蓝谷","2021-01-26","2021-02-08","2021-02-09","12","9500","9500","9500","94620.00","0.00%","8.50%","44.68","0.00","--","0","18.00%","202101260000000762	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603919	","金徽酒","2021-01-26","2021-01-29","2021-02-01","4","5100","5100","5100","185640.00","0.00%","9.00%","92.82","0.00","--","0","18.00%","202101260000000754	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600559	","老白干酒","2021-01-26","2021-01-29","2021-02-01","4","7000","7000","7000","186970.00","0.00%","9.00%","93.48","0.00","--","0","18.00%","202101260000000751	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600543	","莫高股份","2021-01-26","2021-01-29","2021-02-01","4","25900","25900","25900","191401.00","0.00%","9.00%","95.70","0.00","--","0","18.00%","202101260000000749	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002646	","青青稞酒","2021-01-26","2021-01-29","2021-02-01","4","11600","11600","10600","184788.00","0.00%","9.00%","92.39","0.00","--","0","18.00%","202101260000000748	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002340	","格林美","2021-01-26","2021-02-08","2021-02-09","12","9800","9800","9800","83104.00","0.00%","9.00%","41.55","0.00","--","0","18.00%","202101260000000741	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002460	","赣锋锂业","2021-01-26","2021-02-08","2021-02-09","12","1400","1400","1400","192360.00","0.00%","9.00%","96.18","0.00","--","0","18.00%","202101260000000652	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600773	","西藏城投","2021-01-25","2021-02-05","2021-02-08","11","22900","22900","22900","210451.00","0.00%","9.00%","157.84","0.00","--","0","18.00%","202101250000001826	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600616	","金枫酒业","2021-01-25","2021-02-05","2021-02-08","11","1200","1200","1200","10188.00","0.00%","9.00%","7.64","0.00","--","0","18.00%","202101250000001818	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300618	","寒锐钴业","2021-01-25","2021-02-05","2021-02-08","11","1400","1400","1400","151508.00","0.00%","9.00%","113.63","0.00","--","0","18.00%","202101250000001812	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300123	","亚光科技","2021-01-25","2021-02-01","2021-02-02","5","16600","16600","16600","194552.00","0.00%","9.00%","145.91","0.00","--","0","18.00%","202101250000001810	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300618	","寒锐钴业","2021-01-22","2021-02-10","2021-02-18","21","500","500","500","53655.00","0.00%","9.00%","80.48","0.00","--","0","18.00%","202101220000000957	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600197	","伊力特","2021-01-22","2021-01-27","2021-01-28","0","4000","4000","0","96000.00","0.00%","9.00%","144.00","0.00","--","0","18.00%","202101220000000956	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600059	","古越龙山","2021-01-22","2021-01-27","2021-01-28","0","13800","13800","0","189612.00","0.00%","9.00%","284.42","0.00","--","0","18.00%","202101220000000954	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002156	","通富微电","2021-01-21","2021-02-03","2021-02-04","7","1600","1600","1600","47440.00","0.00%","8.50%","78.41","0.00","--","0","18.00%","202101210000000960	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000799	","酒鬼酒","2021-01-21","2021-02-03","2021-02-04","7","1200","1200","1200","221280.00","0.00%","8.50%","365.73","0.00","--","0","18.00%","202101210000000951	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603005	","晶方科技","2021-01-21","2021-02-02","2021-02-03","6","2300","2300","2300","200491.00","0.00%","9.00%","350.86","0.00","--","0","18.00%","202101210000000942	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601058	","赛轮轮胎","2021-01-21","2021-02-02","2021-02-03","6","23300","23300","23300","204574.00","0.00%","9.00%","358.00","0.00","--","0","18.00%","202101210000000939	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600967	","内蒙一机","2021-01-21","2021-02-02","2021-02-03","6","10000","10000","10000","121800.00","0.00%","7.00%","165.78","0.00","--","0","18.00%","202101210000000012	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600893	","航发动力","2021-01-21","2021-02-02","2021-02-03","6","1400","1400","1400","102312.00","0.00%","5.00%","99.47","0.00","--","0","18.00%","202101210000000011	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600316	","洪都航空","2021-01-21","2021-02-02","2021-02-03","6","3900","3900","3900","201630.00","0.00%","7.00%","274.44","0.00","--","0","18.00%","202101210000000010	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600776	","东方通信","2021-01-20","2021-02-02","2021-02-03","6","7900","7900","7900","99382.00","0.00%","8.50%","187.72","0.00","--","0","18.00%","202101200000001043	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002156	","通富微电","2021-01-20","2021-02-02","2021-02-03","6","3400","3400","3400","102272.00","0.00%","8.50%","193.18","0.00","--","0","18.00%","202101200000001035	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601766	","中国中车","2021-01-20","2021-02-10","2021-02-16","19","19200","19200","19200","131904.00","0.00%","9.00%","263.81","0.00","--","0","18.00%","202101200000000956	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002460	","赣锋锂业","2021-01-20","2021-02-01","2021-02-02","5","100","100","100","12698.00","0.00%","9.00%","25.40","0.00","--","0","18.00%","202101200000000952	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601919	","中远海控","2021-01-20","2021-02-01","2021-02-02","5","1500","1500","1500","21060.00","0.00%","5.00%","23.40","0.00","--","0","18.00%","202101200000000048	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600460	","士兰微","2021-01-20","2021-02-10","2021-02-16","19","4200","4200","4200","108360.00","0.00%","7.00%","168.56","0.00","--","0","18.00%","202101200000000047	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300274	","阳光电源","2021-01-20","2021-02-01","2021-02-02","5","1200","1200","1200","110640.00","0.00%","7.00%","172.11","0.00","--","0","18.00%","202101200000000046	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000725	","京东方Ａ","2021-01-20","2021-01-29","2021-02-01","4","1200","1200","1200","8052.00","0.00%","5.00%","8.95","0.00","--","0","18.00%","202101200000000045	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300274	","阳光电源","2021-01-19","2021-02-01","2021-02-02","5","1200","1200","1200","100680.00","0.00%","8.50%","213.95","0.00","--","0","18.00%","202101190000002143	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600855	","航天长峰","2021-01-19","2021-02-01","2021-02-02","5","6200","6200","6200","95294.00","0.00%","8.50%","202.50","0.00","--","0","18.00%","202101190000002142	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600460	","士兰微","2021-01-19","2021-02-01","2021-02-02","5","3700","3700","3700","94720.00","0.00%","8.50%","201.28","0.00","--","0","18.00%","202101190000002126	","960000039239	","鸣石宽墨十一号私募证券投资基金"
