Id,Holding,LongQty
66,10200,10200
100,7800,7800
157,600,600
725,37000,37000
733,3200,3200
2013,14800,14800
2340,25700,25700
2407,10200,10200
2518,14600,14600
2670,17600,17600
2739,5400,5400
2812,1400,1400
300014,2000,2000
300073,3200,3200
300115,6400,6400
300142,5200,5200
300274,1000,1000
300326,13400,13400
300482,2200,2200
300761,4100,4100
511990,20280,20280
600075,35600,35600
600531,36000,36000
600733,24200,24200
600760,2600,2600
600773,28000,28000
600827,12600,12600
600884,13000,13000
600967,16400,16400
601717,16800,16800
601919,5600,5600
603799,2800,2800
603993,13000,13000
