Id,Holding,LongQty
100,29600,29600
157,20600,20600
503,19400,19400
625,200,200
639,34800,34800
725,39200,39200
768,6600,6600
813,33000,33000
830,13900,13900
887,16000,16000
2007,1000,1000
2044,12600,12600
2074,1000,1000
2153,1000,1000
2202,1000,1000
2214,6200,6200
2238,29300,29300
2271,2000,2000
2294,1600,1600
2340,9100,9100
2353,7000,7000
2382,1000,1000
2460,200,200
2466,4200,4200
2670,700,700
300037,2400,2400
300072,5600,5600
300122,1600,1600
300124,1000,1000
300134,18800,18800
300142,5600,5600
300168,10200,10200
300251,100,100
300274,2800,2800
300294,5400,5400
300296,2400,2400
300357,3000,3000
300496,1897,1897
300502,3400,3400
300595,2400,2400
300666,3800,3800
300759,1800,1800
600004,13200,13200
600155,10600,10600
600176,1000,1000
600362,2300,2300
600456,4400,4400
600765,10800,10800
600804,21100,21100
600895,10600,10600
601238,1000,1000
601636,17352,17352
601717,17200,17200
601899,24000,24000
601919,13400,13400
603678,3400,3400
688011,3605,3605
688015,4840,4840
688021,2695,2695
688030,6600,6600
688068,1500,1500
688099,2300,2300
688108,1000,1000
688116,4536,4536
688138,3001,3001
688139,1823,1823
688196,3400,3400
688288,5151,5151
688300,3850,3850
688321,4600,4600
688389,9546,9546
