Id,Holding,LongQty
39,6400,6400
100,7800,7800
403,2200,2200
503,6300,6300
725,18400,18400
793,1000,1000
2007,1000,1000
2027,10000,10000
2074,1000,1000
2153,1000,1000
2202,1000,1000
2214,6200,6200
2271,2000,2000
2340,17256,17256
2353,4200,4200
2382,1000,1000
2407,1000,1000
2466,4200,4200
2555,7700,7700
2709,1200,1200
2739,5400,5400
300001,1000,1000
300027,1000,1000
300072,200,200
300122,500,500
300124,600,600
300251,100,100
300274,1000,1000
600176,1000,1000
600196,700,700
600486,800,800
600531,10000,10000
600733,10000,10000
600804,12400,12400
600812,10000,10000
600884,10000,10000
601099,1000,1000
601128,10000,10000
601238,1000,1000
601919,400,400
603712,1000,1000
603881,1000,1000
688002,1000,1000
688011,1000,1000
688025,1000,1000
688036,1000,1000
688058,1000,1000
688068,1000,1000
688108,1000,1000
688116,2300,2300
688139,1000,1000
688368,600,600
