"证券代码","证券名称","起始日","归还日","到期日","剩余期限","合约数量","日初合约数量","已用数量","合约金额","使用费率","占用利率","预计占用利息","已还利息","展期后到期日","展期次数","违约金率","合约编号","资产账号","账户名称"
"603299	","苏盐井神","2021-02-01","2021-02-26","2021-03-01","27","12800","12800","0","104448.00","0.00%","8.50%","24.66","0.00","--","0","18.00%","202102010000002310	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"002407	","多氟多","2021-02-01","2021-02-26","2021-03-01","27","4200","4200","0","95760.00","0.00%","8.50%","22.61","0.00","--","0","18.00%","202102010000002298	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300598	","诚迈科技","2021-02-01","2021-02-26","2021-03-01","27","1200","1200","0","94560.00","0.00%","8.50%","22.33","0.00","--","0","18.00%","202102010000002290	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"300001	","特锐德","2021-02-01","2021-02-10","2021-02-15","13","1600","1600","0","56896.00","0.00%","8.50%","13.43","0.00","--","0","18.00%","202102010000002286	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000725	","京东方Ａ","2021-02-01","2021-02-10","2021-02-15","13","3500","3500","0","21805.00","0.00%","9.00%","5.45","0.00","--","0","18.00%","202102010000002245	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600655	","豫园股份","2021-02-01","2021-02-10","2021-02-15","13","19200","19200","0","204288.00","0.00%","9.00%","51.07","0.00","--","0","18.00%","202102010000002238	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"603993	","洛阳钼业","2021-02-01","2021-02-10","2021-02-18","16","1000","1000","0","5960.00","0.00%","9.00%","1.49","0.00","--","0","18.00%","202102010000002230	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"601919	","中远海控","2021-02-01","2021-03-01","2021-03-02","28","1000","1000","0","12080.00","0.00%","9.00%","3.02","0.00","--","0","18.00%","202102010000002228	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"600543	","莫高股份","2021-02-01","2021-02-05","2021-02-08","6","24500","24500","24500","181790.00","0.00%","7.00%","35.35","0.00","--","0","18.00%","202102010000000058	","960000039239	","鸣石宽墨十一号私募证券投资基金"
"000100	","TCL科技","2021-02-01","2021-02-10","2021-02-15","13","1900","1900","1900","17157.00","0.00%","5.00%","2.38","0.00","--","0","18.00%","202102010000000057	","960000039239	","鸣石宽墨十一号私募证券投资基金"
