Id,Holding,LongQty
100,7800,7800
157,600,600
725,38000,38000
2238,29400,29400
2340,11600,11600
2518,14600,14600
2670,17600,17600
2739,5400,5400
2812,1400,1400
300014,2000,2000
300073,3200,3200
300115,6400,6400
300142,5200,5200
300207,6600,6600
300274,1000,1000
300326,13400,13400
300482,2200,2200
511990,70260,70260
600075,35600,35600
600131,14000,14000
600531,36000,36000
600733,24200,24200
600760,2600,2600
600864,20000,20000
600884,13000,13000
601717,16800,16800
601919,3300,3300
601969,32000,32000
603799,2800,2800
603993,13000,13000
